,title,price,link_item,discount,sales,revenue
0,Kéo Cắt Chân Mày Thép Không Gỉ Inox Kềm Nghĩa KM - 603 Cao Cấp - Kéo Tỉa Lông Mày,59800,https://tiki.vn/keo-ca-nhan-thep-khong-gi-km-603-p7609101.html?spid=7609102,-8%,249.0,14890200.0
1,Chì kẻ viền môi Mira Auto Lipliner Hàn Quốc No. 207 tặng kèm móc khoá,95000,https://tiki.vn/chi-ke-vien-moi-mira-auto-lipliner-han-quoc-no-207-tang-kem-moc-khoa-p25739042.html?spid=25739043,-5%,48.0,4560000.0
2,Phấn mắt FOCALLURE 10 màu 10g,75000,https://tiki.vn/phan-mat-focallure-10-mau-10g-p271538002.html?spid=271538006,-40%,2.0,150000.0
3,Phấn nước BB với bông phấn đầu nấm SUNISA độc đáo(Tặng Kẻ Mày Drawing Color Geometry),75000,https://tiki.vn/phan-nuoc-bb-voi-bong-phan-dau-nam-sunisa-doc-dao-tang-ke-may-drawing-color-geometry-p50782759.html?spid=50782760,-43%,352.0,26400000.0
4,Phấn nước hoàng cung cao cấp Whoo Radiant Essence Cushion mẫu mới 2023,2300000,https://tiki.vn/phan-nuoc-hoang-cung-cao-cap-whoo-radiant-essence-cushion-mau-moi-2023-p216368506.html?spid=216368507,,1.0,2300000.0
5,Che Khuyết Điểm Absolute Newyork Hd Cover Stick HDCS02 - Butter (3g),210000,https://tiki.vn/che-khuyet-diem-absolute-newyork-hd-cover-stick-hdcs02-butter-3g-p7101849.html?spid=7181187,,8.0,1680000.0
6,"Chì kẻ mày 2 đầu đa năng Boorui - Bút kẻ mày không thấm nước lâu trôi, nét mảnh 5 màu tự nhiên trang điểm mắt chuyên nghiệp cho nữ",20000,https://tiki.vn/chi-ke-may-2-dau-da-nang-boorui-but-ke-may-khong-tham-nuoc-lau-troi-net-manh-5-mau-tu-nhien-trang-diem-mat-chuyen-nghiep-p206715260.html?spid=206715268,-20%,42.0,840000.0
7,Bông Phấn Khô Tròn Lớn Vacosi Makeup House - BP09,34000,https://tiki.vn/bong-phan-kho-tron-lon-vacosi-makeup-house-bp09-p9984678.html?spid=9984679,-20%,9.0,306000.0
8,Bút Kẻ Mí Mắt Kết Hợp Mascara Kim Cương Mira - B689,144000,https://tiki.vn/but-ke-mi-mat-ket-hop-mascara-kim-cuong-mira-b689-p15380767.html?spid=15380768,-64%,38.0,5472000.0
9,Bút chì kẻ mày bút chì xé kẻ mày,6000,https://tiki.vn/but-chi-ke-may-freeship-but-chi-xe-ke-may-p115495727.html?spid=115495754,-39%,146.0,876000.0
10,Set son quà tặng Belips hộp hoa hồng,319050,https://tiki.vn/set-son-qua-tang-belips-hop-hoa-hong-p127076390.html?spid=127076394,,41.0,13081050.0
11,Khuôn vẽ chân mày,29000,https://tiki.vn/khuon-ve-chan-may-p32616111.html?spid=58696874,-49%,36.0,1044000.0
12,Son môi mịn lì mỏng nhẹ giúp làm mờ rãnh môi MAC Powder Kiss Lipstick - Moisture Matte Lipstick 3g,568000,https://tiki.vn/son-moi-min-li-mong-nhe-giup-lam-mo-ranh-moi-mac-powder-kiss-lipstick-moisture-matte-lipstick-3g-p184468934.html?spid=184468942,-32%,23.0,13064000.0
13,"Bút Chì Sáp Kẻ Lông Mày Chống Trôi Lõi Siêu Mịn Kissme Heavy Rotation Eyebrow Pencil (0,09g)",137000,https://tiki.vn/but-chi-sap-ke-long-may-chong-troi-loi-sieu-min-kissme-heavy-rotation-eyebrow-pencil-0-09g-p182797465.html?spid=182797467,-61%,19.0,2603000.0
14,Gương Soi Trang Điểm Để Bàn - Hàng Loại Tốt (Màu ngẫu nhiên),20000,https://tiki.vn/guong-soi-trang-diem-de-ban-hang-loai-tot-mau-ngau-nhien-p20622960.html?spid=169217186,,26.0,520000.0
15,"Phấn phủ highlight tạo khối, chống nắng bảo vệ da khỏi tia UV Vinacosmetics Miracle Veil UV (5g)",254000,https://tiki.vn/phan-phu-highlight-tao-khoi--chong-nang-bao-ve-da-khoi-tia-uv-vinacosmetics-miracle-veil-uv--5g--p8162738.html?spid=8162739,-28%,9.0,2286000.0
