,title,price,link_item,discount,sales,revenue
0,Sữa Tắm Dành Cho Da Nhạy Cảm Eucerin pH5 1000ml TẶNG Sữa tắm cho da nhạy cảm pH5 200ml,474000,https://tiki.vn/sua-tam-danh-cho-da-nhay-cam-eucerin-ph5-1000ml-tang-sua-tam-cho-da-nhay-cam-ph5-200ml-p15500274.html?spid=15500275,-29%,232.0,109968000.0
1,Kem DưỡngTrắng Da Toàn Thân Body Collagen X3 Luxury 250g Mỹ Phẩm Đông Anh Chính Hãng,35000,https://tiki.vn/kem-duongtrang-da-toan-than-body-collagen-x3-luxury-250g-my-pham-dong-anh-chinh-hang-p210530923.html?spid=210530929,-23%,36.0,1260000.0
2,SỮA TẮM DETTOL ONZEN DƯỠNG ẨM LÔ HỘI & BƠ 950G/CHAI,137000,https://tiki.vn/sua-tam-dettol-onzen-duong-am-lo-hoi-bo-950g-chai-p271961776.html?spid=271961777,-25%,7.0,959000.0
3,Sữa tắm dành cho da nhạy cảm Eucerin pH5 Washlotion (1000ml),373000,https://tiki.vn/sua-tam-danh-cho-da-nhay-cam-eucerin-ph5-washlotion-1000ml-p16620044.html?spid=16620045,,124.0,46252000.0
4,Kem chống nắng nâng tông da CNP Laboratory Tone-Up Protection Sun SPF42/PA+++ 50ml,285000,https://tiki.vn/kem-chong-nang-nang-tong-da-cnp-laboratory-tone-up-protection-sun-spf42-pa-50ml-p242075884.html?spid=242075885,-47%,21.0,5985000.0
5,Sữa tắm gội nam 4 in 1 hương nước hoa châu Âu SIRMEN Europe Gentlemen cao cấp 350g công nghệ EU-Nano đậm đặc gấp 2 lần,159000,https://tiki.vn/sua-tam-goi-nam-4-in-1-huong-nuoc-hoa-chau-au-sirmen-europe-gentlemen-cao-cap-350g-cong-nghe-eu-nano-dam-dac-gap-2-lan-p198815372.html?spid=198815373,-6%,78.0,12402000.0
6,[Made in Japan] Sữa Tắm Nam Nhật Bản Bạc Hà Siêu Mát Lạnh Pharmaact Extra Cool Body Soap (550ml),105000,https://tiki.vn/made-in-japan-sua-tam-nam-nhat-ban-bac-ha-sieu-mat-lanh-pharmaact-extra-cool-body-soap-550ml-p198102649.html?spid=140367902,-50%,159.0,16695000.0
7,Xà Phòng Tắm Ngừa Mụn Vùng Lưng Pelican For Back Soap Bar 135g,80000,https://tiki.vn/xa-phong-tam-ngua-mun-vung-lung-pelican-for-back-soap-bar-135g-p109266761.html?spid=109266765,,277.0,22160000.0
8,Sữa Tắm Hazeline Matcha & Lựu Đỏ - Sáng Mịn Đều Màu (Chai 670g),69000,https://tiki.vn/sua-tam-hazeline-matcha-luu-do-sang-min-deu-mau-chai-670g-p10071379.html?spid=98066979,-15%,31.0,2139000.0
9,Tẩy Tế Bào Da Cơ Thể Cocoon Eco-Refill Đắk Lắk Coffee Body Polish 600ml,325000,https://tiki.vn/tay-te-bao-da-co-the-cocoon-eco-refill-dak-lak-coffee-body-polish-600ml-p262844284.html?spid=262844285,-32%,30.0,9750000.0
10,Lăn khử mùi cho nam Degree Men Cool Comfort 48H Antiperspirant 76g,115000,https://tiki.vn/lan-khu-mui-cho-nam-degree-men-cool-comfort-48h-antiperspirant-76g-p73429228.html?spid=103439382,-9%,503.0,57845000.0
11,"Sữa Dưỡng Thể Chống Nắng Hatomugi SPF31 PA+++ Nhật Bản, 250ml",135000,https://tiki.vn/sua-duong-the-chong-nang-hatomugi-spf31-pa-nhat-ban-250ml-p7073667.html?spid=45816625,-22%,2300.0,310500000.0
