,title,price,link_item,discount,sales,revenue
0,Bình Rửa Mũi Xoang PlasmaKare Nasal Clean - Làm Sạch Mũi Xoang Hiệu Quả và An Toàn Niêm Mạc Mũi,235000,https://tiki.vn/bo-rua-mui-xoang-plasmakare-nasal-clean-lam-sach-mui-xoang-hieu-qua-va-an-toan-niem-mac-mui-p253666044.html?spid=253666045,-22%,13.0,3055000.0
1,Băng vệ sinh Kotex Hàng ngày Kháng khuẩn Siêu bảo vệ 40s,27000,https://tiki.vn/bang-ve-sinh-kotex-hang-ngay-khang-khuan-sieu-bao-ve-40s-p149175656.html?spid=149175658,-20%,134.0,3618000.0
2,Combo 3 Bông Tăm Kháng Khuẩn Jomi (160 Que/Hộp),79000,https://tiki.vn/combo-3-bong-tam-khang-khuan-jomi-160-que-hop-p200731937.html?spid=200731938,,34.0,2686000.0
3,Dung dịch vệ sinh phụ nữ INTIMA Hoa lan chuông 200ml,160000,https://tiki.vn/dung-dich-ve-sinh-phu-nu-intima-hoa-lan-chuong-200ml-p3939659.html?spid=3939661,-40%,87.0,13920000.0
4,Bọt Cạo Râu GILLETTE London Bridge Chai 300g,39000,https://tiki.vn/bot-cao-rau-gillette-london-bridge-chai-300g-p58117350.html?spid=74386729,-53%,285.0,11115000.0
5,Đầu tăm nước thay thế và phụ kiện dây sạc cho máy tăm nước h2ofloss,15000,https://tiki.vn/dau-tam-nuoc-thay-the-cho-may-tam-nuoc-p192305641.html?spid=192305643,-25%,118.0,1770000.0
6,Tăm bông người lớn Pharmacity,5000,https://tiki.vn/tam-bong-nguoi-lon-pharmacity-p159849436.html?spid=159849442,-25%,293.0,1465000.0
7,Nước súc miệng Kin Gingival Mouthwash Gums Gencives hỗ trợ ngăn ngừa và phòng chống nha chu - viêm nướu (250ml),128000,https://tiki.vn/nuoc-suc-mieng-ho-tro-ngan-ngua-va-phong-chong-nha-chu-viem-nuou-kin-gingival-mouthwash-gums-gencives-250ml-p173836838.html?spid=173836839,-15%,168.0,21504000.0
8,Bàn chải răng trẻ em Curaprox CS Kids 5500 Ultra Soft,158000,https://tiki.vn/ban-chai-rang-tre-em-curaprox-cs-kids-5500-ultra-soft-p138505237.html?spid=188956867,-6%,17.0,2686000.0
9,Combo 6 Băng Vệ Sinh Whisper Ultra Clean Siêu Mỏng Có Cánh Ngày Vừa 24cm (Gói 10 Miếng),165000,https://tiki.vn/combo-6-bang-ve-sinh-whisper-ultra-clean-sieu-mong-co-canh-ngay-vua-24cm-goi-10-mieng-p35787205.html?spid=74180939,-13%,120.0,19800000.0
10,"Dây sạc máy tăm nước h2ofloss, hàng nhập khẩu",23000,https://tiki.vn/day-sac-may-tam-nuoc-h2ofloss-hang-nhap-khau-p208191845.html?spid=208074074,,61.0,1403000.0
11,"Combo 12 Gói Khăn Ướt Cồn LET-GREEN, 10 Miếng/Gói",90000,https://tiki.vn/combo-12-goi-khan-uot-con-let-green-10-mieng-goi-p248637682.html?spid=248637683,-42%,29.0,2610000.0
12,Bộ 2 Nước súc miệng cho răng nhạy cảm Listerine Total Care Sensitive Soothing Taste 750ml/chai,279000,https://tiki.vn/bo-2-nuoc-suc-mieng-cho-rang-nhay-cam-listerine-total-care-sensitive-750mlx2-p194040396.html?spid=194040397,-8%,122.0,34038000.0
13,Kem chống muỗi Rohto Metholatum Remos Hương Lavender 70g,22000,https://tiki.vn/kem-chong-muoi-rohto-metholatum-remos-huong-lavender-70g-p1687623.html?spid=10862504,-11%,2600.0,57200000.0
14,Bộ 4 Kem đánh răng Colgate the mát thổi bùng sảng khoái Maxfresh 230g tặng bàn chải đánh răng lông tơ,190000,https://tiki.vn/bo-4-kem-danh-rang-colgate-the-mat-thoi-bung-sang-khoai-maxfresh-230g-tang-ban-chai-danh-rang-long-to-p56215892.html?spid=56215893,-20%,257.0,48830000.0
15,Combo 3 Dung dịch nhỏ mắt giữ ẩm & bổ sung khoáng chất V.Rohto Mineral Tear 13ml,170000,https://tiki.vn/combo-3-dung-dich-nho-mat-giu-am-bo-sung-khoang-chat-v-rohto-mineral-tear-13ml-p270976793.html?spid=270976794,-8%,51.0,8670000.0
16,"Thuốc nhỏ mắt Refresh Tears làm dịu mắt, giảm kích ứng và khô mắt (15ml)",66000,https://tiki.vn/refresh-tears-15ml-p172120332.html?spid=172120336,,373.0,24618000.0
17,Máy tăm nước cầm tay Panasonic dùng pin EW-DJ11 - Hàng chính hãng,1399000,https://tiki.vn/may-tam-nuoc-cam-tay-panasonic-dung-pin-ew-dj11-hang-chinh-hang-p198740039.html?spid=198740040,-24%,52.0,72748000.0
18,Combo 2 Dung dịch nhỏ mắt giữ ẩm & bổ sung khoáng chất V.Rohto Mineral Tear 13ml,112000,https://tiki.vn/combo-2-dung-dich-nho-mat-giu-am-bo-sung-khoang-chat-v-rohto-mineral-tear-13ml-p270976791.html?spid=270976792,,47.0,5264000.0
19,NƯỚC SÚC MIỆNG KIN GINGIVAL NGĂN NGỪA VIÊM NƯỚU 250ML,132000,https://tiki.vn/nuoc-suc-mieng-kin-gingival-ngan-ngua-viem-nuou-250ml-p23257530.html?spid=23257531,,1700.0,224400000.0
20,Dụng Cụ Lấy Ráy Tai Thông Minh Cảm Biến Bebird Camera Nội Soi Không Dây WiFi 6 Đèn LED và HD 1080P 2Megapixels - Trắng,520000,https://tiki.vn/dung-cu-lay-ray-tai-thong-minh-cam-bien-bebird-camera-noi-soi-khong-day-wifi-6-den-led-va-hd-1080p-2megapixels-p31410717.html?spid=31410853,,123.0,63960000.0
21,Máy Tăm Nước Cầm Tay H2OFloss HF-9P Làm Sạch Răng - Hàng Chính Hãng,579000,https://tiki.vn/may-tam-nuoc-cam-cay-h2ofloss-hf-9p-lam-sach-rang-mau-trang-hang-chinh-hang-p204704369.html?spid=204704370,,105.0,60795000.0
22,Bộ dụng cụ lấy ráy tai 7 món có đèn LED cao cấp bằng Inox,78999,https://tiki.vn/bo-dung-cu-lay-ray-tai-7-mon-co-den-led-cao-cap-bang-inox-p73613964.html?spid=122642174,,103.0,8136897.0
