title,price,link_item,index_,Discount,countReviews,Brand,Store
SAMSUNG A30 --SIÊU ĐẸP - SIÊU MƯỢT - SIÊU BỀN.RAM 3G/32G ĐẸP KEENG CHƠI GAME LƯỚT WEb Siêu Mượt.,1.090.000 ₫,https://www.lazada.vn/products/samsung-a30-sieu-dep-sieu-muot-sieu-benram-3g32g-dep-keeng-choi-game-luot-web-sieu-muot-i1665355003.html,1,,"74 Đã bán
(26)
Bạc Liêu",,
"[ RẺ NHƯ CHO ] Samsung A30s - điện thoại Samsung Galaxy A30s máy 2sim ram 4G/64G Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng - TTN 01",899.000 ₫,https://www.lazada.vn/products/re-nhu-cho-samsung-a30s-dien-thoai-samsung-galaxy-a30s-may-2sim-ram-4g64g-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-ttn-01-i2296787590.html,2,40% Off,"396 Đã bán
(123)
Hồ Chí Minh",,
"điện thoại giá rẻ Oppo A95 5G Chính Hãng 2sim ram 12/512G, Cấu hình mạnh đỉnh Cày PUBG/Liên Quân/Free Fire/Tiktok siêu mượt",1.548.000 ₫,https://www.lazada.vn/products/dien-thoai-gia-re-oppo-a95-5g-chinh-hang-2sim-ram-12512g-cau-hinh-manh-dinh-cay-pubglien-quanfree-firetiktok-sieu-muot-i2022285057.html,3,44% Off,"66 Đã bán
(61)
Hồ Chí Minh",,
OPPO A37 Full Box - Đủ sạc Hộp + ốp + Dán Màn Hình,599.000 ₫,https://www.lazada.vn/products/oppo-a37-full-box-du-sac-hop-op-dan-man-hinh-i2135012752.html,4,24% Off,"37 Đã bán
(14)
Hồ Chí Minh",,
Samsung Galaxy M21 Ram M21 Ram 4G/64GB pin 6000 máy chính hãng,1.200.000 ₫,https://www.lazada.vn/products/samsung-galaxy-m21-ram-m21-ram-4g64gb-pin-6000-may-chinh-hang-i2214656455.html,5,,"5 Đã bán
(3)
Hồ Chí Minh",,
"Điện thoại Cảm ứng Cao Cấp Giá rẻ Oppo A77 5G - điện thoại Oppo A77 bản 5G 2sim ram 8+3G rom 256G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",1.299.000 ₫,https://www.lazada.vn/products/dien-thoai-cam-ung-cao-cap-gia-re-oppo-a77-5g-dien-thoai-oppo-a77-ban-5g-2sim-ram-83g-rom-256g-may-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-i2320316103.html,6,40% Off,"48 Đã bán
(45)
Hồ Chí Minh",,
"[Hàng Trưng Bày] Điện thoại Nokia 105 (2016/2017) chính hãng, FM radio, loa to, màn hình màu",79.000 ₫,https://www.lazada.vn/products/hang-trung-bay-dien-thoai-nokia-105-20162017-chinh-hang-fm-radio-loa-to-man-hinh-mau-i1266015524.html,7,47% Off,"534 Đã bán
(104)
Bình Dương",,
[CHÍNH HÃNG] Điện thoại Nokia 108 2SIM - Nghe Nhạc Chụp Hình,159.000 ₫,https://www.lazada.vn/products/chinh-hang-dien-thoai-nokia-108-2sim-nghe-nhac-chup-hinh-i470136934.html,8,12% Off,"99 Đã bán
(35)
Bình Dương",,
"Oppo F1 - điện thoại Oppo F1 2sim ram 4G/64G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng",497.000 ₫,https://www.lazada.vn/products/oppo-f1-dien-thoai-oppo-f1-2sim-ram-4g64g-may-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-i2321465705.html,9,29% Off,"36 Đã bán
(35)
Hồ Chí Minh",,
Điện thoại ITEL A26 (2GB/32GB) - Mới nguyên seal - Hàng chính hãng,1.099.000 ₫,https://www.lazada.vn/products/dien-thoai-itel-a26-2gb32gb-moi-nguyen-seal-hang-chinh-hang-i1768032053.html,10,45% Off,"53 Đã bán
(15)
Nghệ An",,
