title,price,link_item,index_,Discount,countReviews,Brand,Store
Apple iPhone 15 Pro Max 512GB Chính hãng (VN/A),42.010.000 ₫,https://www.lazada.vn/products/apple-iphone-15-pro-max-512gb-chinh-hang-vna-i2416951834.html,1,9% Off,"75 Đã bán
(3)
Hồ Chí Minh",,
điện thoại giá rẻ Samsung Galaxy A50 máy 2sim ram 4G/64G Chính Hãng - Bảo hàng 12 tháng,499.000 ₫,https://www.lazada.vn/products/dien-thoai-gia-re-samsung-galaxy-a50-may-2sim-ram-4g64g-chinh-hang-bao-hang-12-thang-i2203169608.html,2,44% Off,"114 Đã bán
(98)
Hồ Chí Minh",,
"Điện thoại Oppo F9 Pro Chính Hãng 2sim ram 8G/256G, Camera siêu nét, Cấu hình mạnh mẽ, Chiến mọi game nặng đỉnh mượt - TT 02",499.000 ₫,https://www.lazada.vn/products/dien-thoai-oppo-f9-pro-chinh-hang-2sim-ram-8g256g-camera-sieu-net-cau-hinh-manh-me-chien-moi-game-nang-dinh-muot-tt-02-i2491491698.html,3,41% Off,"427 Đã bán
(252)
Hồ Chí Minh",,
"điện thoại Samsung Galaxy S20 Plus (S20+) 5G máy ram 12G/256G Chính Hãng, Cày Game siêu chất - Bảo hành 12 Tháng",1.549.000 ₫,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-5g-may-ram-12g256g-chinh-hang-cay-game-sieu-chat-bao-hanh-12-thang-i2198575025.html,4,40% Off,"98 Đã bán
(89)
Hồ Chí Minh",,
"Điện thoại giá siêu rẻ dành cho Học sinh sinh viên Oppo A95 5G - điện thoại Oppo A95 bản 5G 2sim ram 12G/512G máy Chính Hãng, lướt Wed Tiktok Facebook Youtube chất, Bảo hành 12 tháng - TTN 02",1.199.000 ₫,https://www.lazada.vn/products/dien-thoai-gia-sieu-re-danh-cho-hoc-sinh-sinh-vien-oppo-a95-5g-dien-thoai-oppo-a95-ban-5g-2sim-ram-12g512g-may-chinh-hang-luot-wed-tiktok-facebook-youtube-chat-bao-hanh-12-thang-ttn-02-i2323631217.html,5,43% Off,"305 Đã bán
(89)
Hồ Chí Minh",,
Smartphone I14 Pro Max Full HD Màn Hình 6.7 Inch Điện Thoại Bộ Nhớ Lớn 8+256GB Dual Sim Camera HD 26+50MP Pin 6000MAh,1.220.822 ₫,https://www.lazada.vn/products/smartphone-i14-pro-max-full-hd-man-hinh-67-inch-dien-thoai-bo-nho-lon-8256gb-dual-sim-camera-hd-2650mp-pin-6000mah-i2268439554.html,6,50% Off,"7 Đã bán
(7)
Hà Nội",,
"Google Pixel 3A - điện thoại Google Pixel 3a ram 4G/64G máy Chính Hãng, Cày Game lướt Wed Tiktok Facebook Youtube đỉnh chất, Bảo hành 12 tháng",1.499.000 ₫,https://www.lazada.vn/products/google-pixel-3a-dien-thoai-google-pixel-3a-ram-4g64g-may-chinh-hang-cay-game-luot-wed-tiktok-facebook-youtube-dinh-chat-bao-hanh-12-thang-i2324968642.html,7,40% Off,"22 Đã bán
(20)
Hồ Chí Minh",,
"điện thoại Vivo Y51 2sim ram 4G/64G máy Chính Hãng, Cấu hình siêu khủng, Cày game nặng mượt mà, Camera siêu nét, Bảo hành 12 tháng - NNT 01",399.000 ₫,https://www.lazada.vn/products/dien-thoai-vivo-y51-2sim-ram-4g64g-may-chinh-hang-cau-hinh-sieu-khung-cay-game-nang-muot-ma-camera-sieu-net-bao-hanh-12-thang-nnt-01-i2507617860.html,8,43% Off,"210 Đã bán
(60)
Hồ Chí Minh",,
"[ Rẻ Không Tưởng ] điện thoại Vivo Y22s ram 8G/256G 2sim máy Chính Hãng, Cấu hình Cao cấp, Chiến mọi game nặng siêu mượt, Bảo hành 12 tháng",1.499.000 ₫,https://www.lazada.vn/products/re-khong-tuong-dien-thoai-vivo-y22s-ram-8g256g-2sim-may-chinh-hang-cau-hinh-cao-cap-chien-moi-game-nang-sieu-muot-bao-hanh-12-thang-i2408656612.html,9,42% Off,"64 Đã bán
(52)
Hồ Chí Minh",,
"[ RẺ VÔ ĐỊCH ] điện thoại Vivo Y11 2sim ram 8G/256G máy Chính Hãng, Cấu hình siêu khủng, Cày game nặng mượt mà, Camera siêu nét, Bảo hành 12 tháng - NNT 01",649.000 ₫,https://www.lazada.vn/products/re-vo-dich-dien-thoai-vivo-y11-2sim-ram-8g256g-may-chinh-hang-cau-hinh-sieu-khung-cay-game-nang-muot-ma-camera-sieu-net-bao-hanh-12-thang-nnt-01-i2507826329.html,10,41% Off,"254 Đã bán
(74)
Hồ Chí Minh",,
