,title,price,link_item,index,discount,sales
0,Dầu Gội Head&Shoulders Bạc Hà Mát Lạnh Chai 1200ml ,284.000₫,https://tiki.vn/dau-goi-head-shoulders-bac-ha-mat-lanh-chai-1200ml-p271448069.html?spid=271448072,1,-13%,Đã bán 30
1,Dầu Gội Dove Phục Hồi Hư Tổn 880gr,181.000₫,https://tiki.vn/dau-goi-dove-phuc-hoi-hu-ton-880gr-p66798490.html?spid=66798491,2,-16%,Đã bán 1.9k
2,Dầu Gội Pantene Ngăn Rụng Tóc - 650ML,143.000₫,https://tiki.vn/dau-goi-pantene-ngan-rung-toc-650ml-p271954067.html?spid=271954113,3,-13%,Đã bán 5
3,Keo xịt tóc cực kỳ giữ nếp cấp độ 6 HARD HEAD TRAVEL SIZE 385ml [ THẾ HỆ MỚI TIGI ]- Chính Hãng,364.800₫,https://tiki.vn/keo-xit-toc-cuc-ky-giu-nep-cap-do-6-hard-head-travel-size-385ml-the-he-moi-tigi-chinh-hang-p84775581.html?spid=90211923,4,-5%,Đã bán 39
4,Dầu Gội Và Xả Bồ Kết Thorakao 400ml,67.000₫,https://tiki.vn/da-u-go-i-va-xa-bo-ke-t-thorakao-400ml-p14276933.html?spid=77662767,5,-19%,Đã bán 107
5,[Made in Vietnam] Dầu gội ngăn rụng tóc Megumi Hair Fall Control Shampoo - 250ml,137.000₫,https://tiki.vn/made-in-vietnam-dau-goi-ngan-rung-toc-megumi-hair-fall-control-shampoo-p68491597.html?spid=68491601,6,-45%,Đã bán 2.3k
6,PHIÊN BẢN MỚI - Nước dưỡng tóc tinh dầu bưởi Cocoon giúp giảm gãy rụng & làm mềm tóc 140ml,165.000₫,https://tiki.vn/phien-ban-moi-nuoc-duong-toc-tinh-dau-buoi-cocoon-giup-giam-gay-rung-lam-mem-toc-140ml-p213591008.html?spid=213591010,7,-19%,Đã bán 88
7,Bộ 5 sản phẩm Tsubaki Phục hồi ngăn rụng tóc chuyên sâu (Gội Xả 490ml/chai + Kem Xả 180g + Mặt nạ tóc 180g + Dầu dưỡng 50ml),667.000₫,https://tiki.vn/bo-5-san-pham-tsubaki-phuc-hoi-ngan-rung-toc-chuyen-sau-goi-xa-490ml-chai-kem-xa-180g-mat-na-toc-180g-dau-duong-50ml-p109296367.html?spid=109296368,8,-15%,Đã bán 431
8,"Dầu gội thảo dược gừng dừa Cocayhoala hỗ trợ trị gàu, hết ngứa, dung tích 440g-95% thành phần từ gừng tươi hữu cơ còn nguyên xơ gừng, hỗ trợ trị rụng tóc, kích thích mọc tóc vượt trội, an toàn cho mẹ bầu mẹ sau sinh",349.000₫,https://tiki.vn/dau-goi-thao-duoc-gung-dua-cocayhoala-tri-gau-het-ngua-dung-tich-440g-95-thanh-phan-tu-gung-tuoi-huu-co-con-nguyen-xo-gung-tri-rung-toc-kich-thich-moc-toc-vuot-troi-an-toan-cho-me-bau-me-sau-sinh-p71512916.html?spid=71512917,9,-35%,Đã bán 361
9,[Made in Vietnam] Tinh chất dưỡng và ngăn rụng tóc 50 Megumi Hair Essence 30ml,133.000₫,https://tiki.vn/made-in-vietnam-tinh-chat-duong-va-ngan-rung-toc-50-megumi-hair-essence-30ml-p185591376.html?spid=185591378,10,-24%,Đã bán 80
10,Dầu Gội Đầu Cao Bồ Kết Thorakao 250ml,31.000₫,https://tiki.vn/dau-go-i-da-u-cao-bo-ke-t-thorakao-250ml-p14768344.html?spid=77662847,11,-10%,Đã bán 95
11,Dầu Gội Head&Shoulders Chai 1800ml,404.000₫,https://tiki.vn/dau-goi-head-shoulders-chai-1800ml-p271447303.html?spid=271447305,12,-19%,Đã bán 11
12,COMBO 2 Chai dầu gội Head&Shoulders Bạc hà 1200ml,399.000₫,https://tiki.vn/combo-2-chai-dau-goi-head-shoulders-bac-ha-1200ml-p73237725.html?spid=73237726,13,-26%,Đã bán 99
