,title,price,link_item,index,discount,sales
0,Bình Rửa Mũi Xoang PlasmaKare Nasal Clean - Làm Sạch Mũi Xoang Hiệu Quả và An Toàn Niêm Mạc Mũi,235.000₫,https://tiki.vn/bo-rua-mui-xoang-plasmakare-nasal-clean-lam-sach-mui-xoang-hieu-qua-va-an-toan-niem-mac-mui-p253666044.html?spid=253666045,1,-22%,Đã bán 13
1,Băng vệ sinh Kotex Hàng ngày Kháng khuẩn Siêu bảo vệ 40s,27.000₫,https://tiki.vn/bang-ve-sinh-kotex-hang-ngay-khang-khuan-sieu-bao-ve-40s-p149175656.html?spid=149175658,2,-20%,Đã bán 134
2,Combo 3 Bông Tăm Kháng Khuẩn Jomi (160 Que/Hộp),79.000₫,https://tiki.vn/combo-3-bong-tam-khang-khuan-jomi-160-que-hop-p200731937.html?spid=200731938,3,,Đã bán 34
3,Dung dịch vệ sinh phụ nữ INTIMA Hoa lan chuông 200ml,160.000₫,https://tiki.vn/dung-dich-ve-sinh-phu-nu-intima-hoa-lan-chuong-200ml-p3939659.html?spid=3939661,4,-40%,Đã bán 87
4,,,https://tiki.vn/combo-2-xit-thom-mieng-befresh-cho-hoi-tho-thom-mat-chi-trong-3-giay-dung-tich-10ml-p198569171.html?spid=200766663,5,,
5,Bọt Cạo Râu GILLETTE London Bridge Chai 300g,39.000₫,https://tiki.vn/bot-cao-rau-gillette-london-bridge-chai-300g-p58117350.html?spid=74386729,6,-53%,Đã bán 285
6,Đầu tăm nước thay thế và phụ kiện dây sạc cho máy tăm nước h2ofloss,15.000₫,https://tiki.vn/dau-tam-nuoc-thay-the-cho-may-tam-nuoc-p192305641.html?spid=192305643,7,-25%,Đã bán 118
7,Tăm bông người lớn Pharmacity,5.000₫,https://tiki.vn/tam-bong-nguoi-lon-pharmacity-p159849436.html?spid=159849442,8,-25%,Đã bán 293
8,Nước súc miệng Kin Gingival Mouthwash Gums Gencives hỗ trợ ngăn ngừa và phòng chống nha chu - viêm nướu (250ml),128.000₫,https://tiki.vn/nuoc-suc-mieng-ho-tro-ngan-ngua-va-phong-chong-nha-chu-viem-nuou-kin-gingival-mouthwash-gums-gencives-250ml-p173836838.html?spid=173836839,9,-15%,Đã bán 168
9,,,https://tiki.vn/kem-danh-rang-aquafresh-extreme-clean-pure-breath-158-7g-p175097295.html?spid=175097298,10,-28%,
10,Bàn chải răng trẻ em Curaprox CS Kids 5500 Ultra Soft,158.000₫,https://tiki.vn/ban-chai-rang-tre-em-curaprox-cs-kids-5500-ultra-soft-p138505237.html?spid=188956867,11,-6%,Đã bán 17
