,Unnamed: 0,title,price,link_item,index,discount,sales,brand,category,revenue
14,14,Điện thoại bàn Panasonic KX-TS500MX-hàng chính hãng,300000,https://tka.tiki.vn/pixel/pixel?data=_xgoiWFf8HYq2qbcho8Xz3MKly_A4GKjNyNpA6FPZQBGSoBHNMyeeUkYf-HRkcsA6h90jcr1H7HrzN52VQPQ5mL5JqxahRqLBoyGE9GNcksvWkiMlH5Nhl7kuxtAGQiQldHtCaNZciEwY4MuUuzXPoTMvZEuOf2hPMf-Q48ijLcTu25lL9LorAtQC6F0pON8M3LWY7NUUvRCYTcECklkq5KPajd6gDrryIVXOztkgHCeBKofY9ixsB_1xQzDoRd_ZmfNgRSvGryZgjVdxiPG5rWamYv5-O_z34uMZATKxx8jt1j6aNeGBMGJXKnCh7CtDrJJckx-QagMTfF0DHU1lJjxORpBcaaB6KCRaoKj_5ZvFvfC7NuTKlLlWIORYT8CUSEu1m6x4xFuDW74zW3US36dSJnd_WLLyETzMJW7oXrwAFyjvSKNpXGD6wMxQtJG7_YzAvtWLqGcs16k8Xaq7vDAufC1y33bq6It68lLkvp-IAwB-bquPgVivrJvR_M5EYmL6YG3qk0o-qYifXKdl2lSexihUYsF-217hFE9MAwflgVrPpeUAknqCJWRnPmTkBMhOHj1eV3bDyYexedqT3yxwAh8HxtzjYSrfL9dcpGx8V8UQ0PyfcbYJkZJT7N6Bt6MjqlTFtJ1sX0Hi_3ARAPSF4l5zSPzYtnzvQDshB7QFh3Po2CpQCv4tdug0DhOA_Zq019hNPuiuUmDWKUQcHkyp4HcfbFVbwh77kQAdIUCUge_wNB6lHrptVeX8NFPxVY3cwAVDvd-A8C8Noe5kWmNLBf20P3ztkc26QVgp67ulk7OBeztFoUg9WM6GMZtq9yBzMyffNKTZcWF3hgpAlDvK63rGwztW-3FxLD97Id3PgUcR0Q2BvhL3RUaUQSn0J5NbvyNZC8zCP6xoiqu6m6Nu8y5BMSBxuFhkbYhH1Op8zjKRJ6O68LHnHAvn8lixa9PLx9GafzIxDu9pZBXO9UETH2ovjobxYVDtLoQ47v7McCOqKYoa5wy85maReFYn3s_F4b-yUAWV4UqS9iaEOMOhBwe-MHMyBZsLL1HgjQ&reqid=70ayojZkwmTsI1pm&type=CLICK&pos=1,1.0,-8%,819.0,Panasonic,dienthoaiban,245700000.0
15,15,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,588000,https://tka.tiki.vn/pixel/pixel?data=iopHtlaDh8pWaHDpDgWxuSyWBAbk1GibB5sU2io9E392bpDTulGk_lkcuFx3IVS9ICOnzx-0iGd5086UdS8glSuBXMxeA1UfvHxOMpU86Bb-NcndsqTnLwtSERNcmEe6MEk_fthBrlowuokKkfEfBOBU8gEMm3G6yty9sovxJownvHAp6g3hPLUptt8PYm-4wzG2y5qbE46MgnhIlzQMp4VOtIq4TH9w7X2YY2wS22gwyuzqMGepS5p3HAYBZA2PpW9UAHODYZNW6nKuEtGmrXgE3MSOlcMrx4gBtFvfifGBGpJmqTL-SN43OG5N1-32Z8qOiQhZgJ2yqEks2TaMG78BF4K2BtWW2Tg5wQV8rGMSk5F6LYJxRvSZAmoH8Gnhem4IsnKi4KceUUZJwGXF0WLEajdmfDCaqBID5sCMFFxRlagnnZgcVsTeX4zRJ6Q9Muzd6ukFy59brT3xfpyRSwABVVDMyVShTEFhMHi0yG5vknJyRgsZN-XMq-Wd8xsaakPPhz_HO3sQMsPn_BMacIEcSb3De4A0OOp-yEA8qnGcWQaWt2c0JuJRz1o0BFIYG7X_3OanZgQIwnyWmTVFmOiMxrVNxXBOMH4lnMTm1ODoU7TgxJKPXpDbh96BwMDMDt1FhyGYbqCY8bB-ECcT8C4F035D91iIofVUQu5TiyfaKVW3eW4VXNwZOZkRQGTD0VwaLptdhAM75BojfT4Vm5aF0QDu37t83cLp5t2TBNwYwHppYaat5DFED01ekPAXJi00B4ST7GvtZBbyCnyISLVS0QX5dDgWsbkOhocUGAfcwU5X2B5kGLd_c4vJIvAFIE6km-p79vuSZohE-VKJx7HgHRsxsu-YwnZN_tDDCGipzDHpeUNsGa3ppGdR6Fpcu6EB0i0iH14UrYainmccGx5nnZW4wrVTM29oXbY47-ePaU_aBNTVMb3rz2j7Z6tbrGizT4khEIsou4fApFRrMYhbA4IZ7q6TnyejWZAQntaE_QQ0wwNK6VMPylBK5ax_3JPWbx8B2NL_6WP4vN6zO6OCsuh-XUghCCrP7lZWcKI2lObB6_Sm4B_-rw&reqid=70ayojZkwmTsI1pm&type=CLICK&pos=2,2.0,-4%,245.0,Panasonic,dienthoaiban,144060000.0
16,16,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2250000,https://tka.tiki.vn/pixel/pixel?data=FbDU_twTq114ZklHJA1KXKbo8FeoG7V5aNgn_e6oVefOb6E-T3VTM2x_zqCK4CsHw8RF8M07TdkfJVBLt7XyeZdrEkSw-IRZdeUQ0ChK5wIu5ES8xmGYyEq0nZbjYMer9cwF017yiS6rStdnM_qGcz5oKSDZ2enPipS_oDr6uemgjrqAj_BzlES8Z_g6AxXL3uu8EaO-0yag9rtpmVBCAqub3V4WUOvxUQdOlzColikrtnLOh0Hwh00x3WeGhwxbznncVdCAFPYmW42ltS2MSDJVwVNj9unWcB8TU_m6vrzfH_yj5zisH_2XomiBjf3zCDJtwzxHPGMXvf0bxCkKZgZ5Z606SZQ8mMrLBhJb-xD_nauMgfz26wJ9lkfE-IyqrGQP0OMx1Y4_lX_NgRbilS5iy6DQK_JBio7gtc4az04wH0ODSib4WRqKIpwP5lqqdJI7bSRaPswmUY3DWt9PSIarNUxQTFQaEouB3EbcvJsvbLyXk4ovh1aL5ay0AwWo3-NjMPsfXmLxVMqIE75kCVsQrMhPlm-G2YiBoJC-z01-09RJAtttpjknK38TKAvbcFFLFynMR7doPoLqtF98CnUiPd8KEA3ODexTip_3EjfHqSj9FNLktHCK3xX78hRgk5f9Y1JWGmVvklpGA8T7Cw0z6obXkCqTTw-KE1UZ3jm9LXZp7SjFjl8pxnFuf2zncV90GpZOA1n6RBODtxXxx-D7DzZXy9OQ3MOIlfeBhuS2CR3PrWx6t_AYQAHhNTXrFXKFWh6inlul53b2Xxc7qt5zjY0qTKT2ecs1KF4H4_9DeUWTvF0QQB2VaHPtsTK9sKsof74TPKO51NReLmgK0J895W9VWrmnQOOEorcFgtA3n58yoP0d2nWLarG83qkaNcbsi24qQzE5IsV8pwIa7LZFQAS--9fGpAfWTq5y9zerp0BjiJgTdCoWc6uqHDdN6WGs17UxhsGo-KO6vRe2GPYYPGjoD45xudQHqNkZwFAoyfro-RfMeRHbH5PBr-biXK3eAWDEZJCLs2ODDlZegImLc44oM_Lt1QQCOQ9_mH_bqUQRMS1wTmf5OHc&reqid=70ayojZkwmTsI1pm&type=CLICK&pos=3,3.0,,34.0,Panasonic,dienthoaiban,76500000.0
17,17,Điện thoại bàn Panasonic KX-TGC312 hàng chính hãng,1590000,https://tka.tiki.vn/pixel/pixel?data=6psZR7yI2HGw7cb7yPPU0QULtRW8KTQIvx10SgJxpdH9_JLr3gFCUmRUMCgXIdwiZynppMF6W2PwmQShwD-407CvLrUn64z0q4p0oFfoujFcOVDbO3g_XR2Q9OrHHNo_MDMy-VtLaE_VBeNBtgolhiqfjbLeBTwrvekr_nzv4J6XRSO3kupu7RO5C3yKvfLc_AJduApOqrqM9_qa6N56VS_fh-_Ab3z7u87WgaqWUB-r5Umt0hgwj0L1px_ozg5GzWM8lTzls1pmcpepBhxiDA_BLhBE4u6iXHzZ01zZQnbFrExpS6Mv3lmrIzmsAlx4UmRnFqZnnxfpPkr48gPx5OIBSQoe1804XPStYKTsy_bzTPgHMONUTczEKLwEmvnxJR5Hdhy6w-pJz3KZFkRVkmuadcQbLv0AyGg08FMKq7RG7NoM-lx2Rikw1N_lzDji1FhTHWn6YJaRUVnm_KeN5WMJ8GElFO_a_OKVBjPfapUchwY62M8grvg4W5CvaBhqgPoGUuMz1HysiKMM4SlH9V1DjsKRB1YXDKO1UYBzk-bE-UULilIoOvd7AYA8yw68uzlpZ6K9KED96S2RD0796p0lXup6foykp4r5OD0en_sagBykJzgHYGfb3kQJFDlLpm4zxkezPjhUC3mmBUJnAUbHgFjBgKKe63N7Y-wjQkd7dsnqKspMaLrW_3UFad9hl-_votJjOzd1JQ7oBck6Z41OvIJra5hzokJ2lm-lppmhlVXpfZ68OpbuxkQMLOVB3BwXqpd0VYuS7eQH8CDB6S4yULxFNbk7YeiXsR4f6kcr2lr1nrwhgK78szX_fuUYGGGuDjdp47bJ5zCzIfV0PyWEcjQcxaYbp7cLGSaC_6uePrnpEFY6A3B8jGG7g11UQaEHyVKXW9MzaKtbUb69anoZ6PShdwqOXdk8uw6XtJ2D9dpbkbxKVcGJel9vCo2LxgG84A4W4fwnd4a0zN0gUDmPixGiZuKQV2wrz4zfiQoGinyUX75lrpLmNIlq-LBkh0J_ddl_Eg7dPIuE6jyWgjWfPuZsIxm1amHW2JmcFjjEBWudiCKvTNK6p0c&reqid=70ayojZkwmTsI1pm&type=CLICK&pos=4,4.0,,28.0,Panasonic,dienthoaiban,44520000.0
18,18,Điện thoại bàn Panasonic KX-TS500MX-hàng chính hãng,290000,https://tiki.vn/dien-thoai-ban-kxts500-hang-chinh-hang-p163914808.html?spid=165068836,5.0,,816.0,Panasonic,dienthoaiban,236640000.0
19,19,Điện Thoại Bàn Panasonic KX-TS500,339000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts500-hang-chinh-hang-p4048043.html?spid=26682811,6.0,,310.0,Panasonic,dienthoaiban,105090000.0
20,20,Điện thoại để bàn Panasonic KX-TS560 hàng chính hãng,600000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts560-hang-chinh-hang-p16518032.html?spid=49302194,7.0,,7.0,Panasonic,dienthoaiban,4200000.0
21,21,Điện thoại không dây Panasonic KX-TGC212 - Hàng Chính Hãng,1650000,https://tiki.vn/dien-thoai-khong-day-panasonic-kx-tgc212-hang-chinh-hang-p21465183.html?spid=49302206,8.0,,15.0,Panasonic,dienthoaiban,24750000.0
22,22,Điện thoại Panasonic KX-TGF320CX -Hàng chính hãng,2499000,https://tiki.vn/dien-thoai-panasonic-kx-tgf320cx-hang-chinh-hang-p118146255.html?spid=118146257,9.0,,8.0,Panasonic,dienthoaiban,19992000.0
23,23,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2250000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgf310-hang-chinh-hang-p164318603.html?spid=164318604,10.0,,34.0,Panasonic,dienthoaiban,76500000.0
