,title,price,link_item,discount,sales,brand,category,revenue
0,Bút học tiếng Anh i-Tek Venus 2023 (HÀNG CHÍNH HÃNG),560000,https://tiki.vn/but-hoc-tieng-anh-i-tek-chinh-hang-p197922924.html?spid=197922929,,1.0,I-Tek,maydocsach,560000.0
1,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,7200000,https://tka.tiki.vn/pixel/pixel?data=fEsGDYyXIVrwqKi1_Za0LkMkVwvmpV9Gu5e9_iaFvf3t3wgf0ccpMq9m_Qk6LcyRojOWv411jzRyAJbZU8EPtcpj7Xx5gMa-tMP93x_T22crJtluPcOhPhhhL3i4kDlIVwFctls4kpVoOPyNHIi06UVHH1dueFJY0P6UPF5IaY6sN26oWdPlgspUKvZjOEYs_vu4NVJZdoBaLDCXPxaTYwx6YXQSXU3Df4QCZgrK4lXuW5QdV0lkWasT_Jz3WGU-wj7AmA32sCdVzwgvZVdlLZQyu7EPm7J3clyAknP6E1_UWcdkjMReNXDBznL1remtpieV-njKnRFVD6RVCxh6KEwLbKCylQtB6MWW7Ay0pMEVKf6PQfFKGV7FjIDG94XY1pCXa0VM0rFpukj9tv54SK5cEox48XOT9lxgw32pbsKJDU5v_gfr_i2cHHbMl99QA6fNJw1Qt8Dhp3N4JnUq79oUZDywYVGfRLHoCCyA1HbTAlVK0e63X6NhheO2JG3bQUy3hCzFJaAH2CQB-Ztx2ZD8F6k8VQ5ehBIvziLsCBlm61IMTCiUPIEIlkMjj-Hlo9vOkZKbT0Z1-cCRBqCeDADbJehB_42y23B5w29mAyRAPXv5bQYRGPG0f4RWxh9yy0c--BfF3i6rxZjlZi56tLV9e9tgeHoDKz4nMxfb32W0XcZFMzpx2kvIwAyku0DLqPZXxajy4qJyfs3C4TGPjNezGWAh7qeqz1ZK2ivoh3LxGHKyklkXJMva_M5Y4Y2SP92fkPSh85c674ef-bcL7Kv4cE655YR3VtRQMHMnwOMUfxbllQzIaFdk_geo6SYOGy3fSgNWvqImIBDFue80vS48urxFjrNe6Xc-e9IEa4FAWjGazKgzumQpHbBHQB1dvl4ZUo64BVpcOyghs_CdHpJ5Cc-NGlSKyoVaexTib80M3Pm-iSa7sDTQikAeDIKfMkhrMD7jkdVVRG7NkuHehyp6z3h5VIg9yT9q67Woejmj2ky4Kw50oPoC_8uBcnTFbhYSoMdpcw0RIzCno1tW68fbVKFVgxni475Wjo-psXS5ifTlIhzxUH-yJKBb0PuWbUYEmU53ROWi-WcTM2huQEQM4CWmscg&reqid=qGloxPBeRrzan03I&type=CLICK&pos=1,-11%,16.0,Kindle,maydocsach,115200000.0
2,Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6896000,https://tka.tiki.vn/pixel/pixel?data=dKSyVMPwZUf7QK2idY44gs4M3y0m8HGva3bEgkKOpVSWOG6gku2PKLb4k2lV3SttpbIzMmn1FLfBG_PjsrMNeFwqlGTsqmhS0AfKdWzf7ZF_M7D93ixIPvnb_BFiILhMCAlUxco3yPP2ftZmW0pl0B32YT60mEr054zdoT3hVw-G0VXE4dxbmyt8Dr-n4RzlLCfFC1oGmV8khIXUNOmDUoMYYTN8cmBiQZp9y5Jjmsq7c5QHfzldQJ18IA2X02l122VtpJCU4TFQtmDMYPr7zDGI7p3JPz9tpsPW4W_rDirnQlgZdETW61EtCcA3S2Je7faOch6OeEFiYk8NN8AS7tjcNND8TO_etBlHuF9Hnf7Yo4BT_EOn953ylXBTJgWQBavhElTC1Nvnc0-nlr1fh_iMyoCqQonkJiNYk7NKGg8LcTPuP44O_85sgWzA9ZDIQT_cXI7E2AoLjNKc7zd5fYyDFapbh8o9nsxOGddOz0TU-4LPIsxDx60T9wnii0UJDx8QJztXDaZV7Z3MYabosEJIEhBW8odOE6Wtf4zVuiXIlYdxOLL8EG2cpv7RUkrWl_s8ADEgvksvNb_PKgxXF4VHhvm9aTI8-bIcekp8njXi_kpMXJHDHwJkv7dqZvwH9gEnDKGJPFpuiKhIwyOTgiEkwul-HLznb9vhQKrrdflbHKV3J_uOVW4Hn5NZf_XpnEAnarJIP6jHD8vueiBUzIFWyCxfZLPhW_mQfo-pG7vdiBz6T_lliyezFQevcbvUpuAKMFCJmK6715alG4Rll7JhcpzkCyFetzalbc8nYpYWH2NK2rm9HoAT8TucF2p85Bmrowu37Lzdji9c2dBPWIkyH1w5hAZAoBkG5qTsuimz2XIfNgkezn0mBZEc70V8viNIKC7dFShpFlE2KUMkF21b_nH4WQTwX0WQLCCtxWAxUR5iMKd_1H1RX8KsVO6BiSWguHaF83B0jKU6AWbansqnzFz3uLFftSWm_sw9pHXld0l_OlSqc-X7tnbndKSvzi76Yczy58fBRN4A8AwIojeNc5VP4uLmaS4c_HcRi84vicBHoE3RCxHn5yTltfR4k11ma4ri2WSiWUO9Z5qUW5vrARN5JpmISQShNg&reqid=qGloxPBeRrzan03I&type=CLICK&pos=2,-14%,6.0,Kindle,maydocsach,41376000.0
3,"Máy đọc sách Kindle Scribe – thế hệ đầu tiên có thể đọc và viết, màn hình 10,2” 300PPI, đèn vàng warmlight, bộ nhớ 16-64GB, đồng bộ dữ liệu qua Microsoft Word - hàng nhập khẩu",11390000,https://tka.tiki.vn/pixel/pixel?data=rcOk78nQnd9kLxhVXKwPLyQxn-AYIfS1YUH7s9zfcgFNWRZ6hbAz6c71dDoZ37OYjyNUFsu-JXeglBvl9t9EK_FlDUOQMrPaUQ7w2cNTToks-BYxvm1QyooXLKee0gMCFBN0dF59wsJStN250vRPxt0vPHbhjW8Uq8jGqhSTiatbrzCpRst1epNxSmHaQdlH6fj3R1ZxxzfuG6C_7_CTWrN-wqu1Uou7fuIccJlTFeNFcxYotiEj5ZE8G-MoOr39pERwfHjBzGKhz_399S8kBrHPbXM7JFyGEUHpBKnSbYoL5O2E_62xv3IPUjaUl_gfu73qlo0MSUjOPW33gqjriD3Rd9O4J6n5DiXj0Lk-_s1fmEMrjd4TSiaQL8xH8ST2xJzBLkrnAebUeNUd0k0lWPYG7ZuPcPxvVaURTBjuaaoapeJGv5RxjA0pXv0rxd5XeCkSMTXNt6i4xY4afRXJsqeq09RvfX6iwq48vVXvf7-XL8URTt4EBjxqJIcfZuJixFVrhAP7Fnp4c2CVun3iYB4E0a2Subs4XrtitjhgM_fdGtRZkojSLCl3N6uHQQskkaU31XecaTJvBmnatdv5GnKW2UkRTWy_3fBiboFWc0AmL0dEfUYUuYqVmv7AVO6bxMZOV6KnJ-oe6tcBL0RS2h1Dt-VtoQP8OyIxXYShMt0lgho89NEzx6PcGi2cSRg8SBh8ptWYHp2vdAtvlwjjEYRp2u-psatqz2DLit0khQIFJWeCiB6xGRUsp1LLj1Ryx7YChPCyt97Ebg3kVGofN4HVhdG7LQ2QOk6rpxxI-xcVPaqhODcEbjICjXenfLg_pzJqGh9u8TAbovYRHGmJBt2xTc4brw4ZuK1Wm49VGJ8ZQS7ZXsHvCVEnhcNGOKF8qFbvt17I2oxRdFkm-geL-56de5Q8XVVWUOCfrgQq1ks60ScY1ik11VCD8v5UfPoFw28cIdN_SGbmOrE6CKhHwnufyMQRItVHVxxlJJ0D9gt8ukogmqfwHgteHBwSUWIsnBiEYHzPdJO4e15Ed_9oyjkZZRWLFwxs2YQzKRHtL1QbSIpu5a-YzbRHDBpeirs5xGAIwY_1EC2_PNh9lAEK5Oc4JpIDVlcDc8NdmVx5RRjstI8pv3FDEOqqoGz3Pl0QyaLHLzhaYy4dex-mVYIgrg4PudKP2eNlaLJbXzKaULE8J-_0eczGHaSmGaF1tShthNtPV1mABIRqG9-n1JrG6ry2ijiLC7zwL6mBpR3Hh9oJjHQC7Pt3mxiOQBE6&reqid=qGloxPBeRrzan03I&type=CLICK&pos=3,-18%,3.0,Kindle,maydocsach,34170000.0
4,Máy Đọc Sách Kindle Oasis (10th Gen) 2019- 8GB - Hàng Chính Hãng,5831008,https://tka.tiki.vn/pixel/pixel?data=sqdifAuwgDviHNOAUim5eeJY3Enp5GsuId8zZfTCoH5nad2vyZPEUs6xypVpqdafh5Utk-XAhoUHJOTpO8KrKy91tpJ1lF79EPNuJtNsOs_Y6aainHojubSAHWZBYhYwC_KmfHsLGQGC6MtJBb0qG1OVRwP00i0tXAz6YaQU3_XSXPlPAbq5IMrysM-IXe129nLmXFjEpxbiK1SHWF7bjv88o6Zff6t5tZEfbxzt0pZ_OioR_TXjDSQpzB824kd8BirOQd0k34UlO43rF63Vj5mXHKgkp3QsVmQV7bzHheiSV6g1v9BnDeD0KrblQwz-_zl4cdrgscqzmm-pERRwEdjZwa_zmNbsY2bKT4QgiWhjWHyByhO2xfj69RzdC_Sl3vkGvK67dg1a4txBlPQtFiutEnLp2fird7JsBF5bV4x3BNL47iqgTH7Iom-DELABG5O4At9oC2dK72Tw-NWXbNN7eJgu4AWuRqKbf-cy5SI5Ua_ZSwLYhQ5mycdxH4vO6oEIvrDqI1HwV32mctYXcotjGHAc42N1cm31H3w57K4mzR8xVUlX30h3JeryopZ3E52RsBsA8zkAiUxXFXcXqMdf9DYBfcEhnK99U_L8_3MQaF6E9l3z78vwXqPLr4qsNWsPTQt3LXXejtbahDF1p-nXUSyfdwygbiHhl-S51EIpKIblhM4UkGjU0AFPgSzNkMU2mKr1PuMBg3GVXWxGVuLYlPo4thpm_ir9bFNE6k_av-S4cRavWC4WT4eNnI_pHdeUSl587tY9l3iyAP6UH2TdIxZb84-uHPhPWB5SpXZPQ6_FTreI-yyLk8dg1E4q9fXF8aBRmCW7AOuKzZHNlX2y2p3GM1BjG7CnSvLS53YgjdyslCNnBr6RVl3YolWzEXdB7EoT1m7Dczabi7IeDwDqiglrXzcoZ2GYR-l1bMa0Nw8jU6iD6hZ4NidwTR5QQ5bnPomGGs88VmXfd6UUvk5RCStUQ-HWIh4MZ_87anqw5bGZ9-3_lw6LTD5rqxLvOojSpui8GLfxYC-_c1pppL8gY0mZD0iFvvlFcHj6Q4v2JQDUXQX52xLHbJd4jVmNBogFHLItUqy9kAPYFujduX0ZvJF27DSym1HV1Bo_uyTfjPE&reqid=qGloxPBeRrzan03I&type=CLICK&pos=4,-32%,3.0,Kindle,maydocsach,17493024.0
5,Máy đọc sách Kindle Scribe - Hàng nhập khẩu,12590000,https://tka.tiki.vn/pixel/pixel?data=tLBicE9nzNxetXJfdILiLwkqJbrJiT5uNBddDjG-iS4yVWM-pmZfGAz9ZKQ5Jl7-BvKlQ9ybUb156ARMN00TF7C0akdE6-PU-XvsWDf5-4Ti_0H61em_AKOaruOERBfTw0CGVgzIa8nA2jLqH4kysweq4R3S21QSYiVQEFnOYLPK1fcguolS0ul6NMUwaMtbkQ-21UHqXWusUwixYZEQI_Kli1-ufTtMpaFdB4-DpDyTU5Hy0NNn-mkZ6jz10xKyI7Gl90zfKUOYg894NL-2oUOH8K3M3tftm221rCWt6p9I0ajoQRlXnDm_DC3mzj-_DOCUmD9KfBzpupr69zyIdvcZbZCAZwoheIHlSt8sCLoHkizBY63Z5ggvG92rtx91_FKM_w09h4XESQtu0jBnSdyN76OhmK8oIy_QEzw-iIH4SJGzm9iayOihvTHKFb3OvjdsqBVUNmBIDsSiak2ELVw0VIbnj7ernJDJsAu5bqKJJaUkgaBx1_iJW_9mi3AERZDZuBkbmIKPgUxjkufzBYWPvr5tw2-MOdusQiqtmeZpjY-MDd6YubixonHvaLbVjdPRO_Opm4hVc_GAy40oiLgnpK1wvDWUfIoQpO3fHlYgUDqt9ltkklNbQa3m5sL12Y8YTFiH16o39T7gqndzFQdQBYUNd3hlHcDZULWn9zL-0N8kwi5M-MhLEBl94n2JLvP6qu0gxedL3QkhBEZx-2ctf3K6LuVt2t7ypcdKa3KY05tfWBcl4yqLWuH71EQOx_Xrsse83Y-steVTnooQs262kWBUNVxDrS9pac3VB2Dizl4urJfDZ9xSWJLsnDKQJx4m1w4900u9mO0M-mrtpJPS7E4PQZR6XpbemD4RpFlHUaMTXm-vUNp6UVrWpPuxKTrbvBlne1C_ozM3gKeWffe6N8mqr0fXhM5WqiLLyS6Jk9UfAXt_81GjReDcxbIWnnWWeeihA1PxB6VNtA41srZMrhcCgAKfyfpg_Tn8tGGGx2DIco1273qWzdkGGRQDFSPH8Qob1iPliSFQOotMOhLYAfb7E1MD_RUzMLqmyoqoKyBM_BISUedL_e7jYR_N4eB1EI9M0NU&reqid=qGloxPBeRrzan03I&type=CLICK&pos=5,-14%,5.0,Kindle,maydocsach,62950000.0
6,Máy đọc sách New Kindle 11th 2022 (16GB) - Hàng chính hãng,2630000,https://tiki.vn/may-doc-sach-new-kindle-11th-2022-16gb-hang-chinh-hang-p214756058.html?spid=214756062,-21%,486.0,Kindle,maydocsach,1278180000.0
7,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3330000,https://tiki.vn/may-doc-sach-all-new-kindle-paperwhite-5-11th-gen-hang-nhap-khau-p125182567.html?spid=225920030,-1%,3.0,Kindle,maydocsach,9990000.0
8,Máy đọc sách Kindle Paperwhite 5 (8GB) - Hàng chính hãng,3400000,https://tiki.vn/may-doc-sach-kindle-paperwhite-5-8gb-hang-chinh-hang-p179547641.html?spid=179547642,-3%,516.0,Kindle,maydocsach,1754400000.0
9,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,3441000,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-5-8gb-black-11th-gen-tang-kem-bao-da-cover-hang-nhap-khau-p201067649.html?spid=184640905,-11%,468.0,Kindle,maydocsach,1610388000.0
