,title,price,link_item,discount,sales,revenue,category
416,Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,9580000,https://tka.tiki.vn/pixel/pixel?data=5zJZo5qZDtbRN9FcE74OR8vA-ma56LHU_jV_buJf233IlckrvSZvAhj1U1aSVkMKXS3nwQ4TiCmQ7a7P3_nEgTiNq51QwYl6buMaoD2khwnnW9-gSWOqI4qy_n-wKiotgaXEj-BiI5mcnzc-jl3bftZ4S65QdcDP6akQZ5Mv7KWp6WyxOWq-H_J0qpgYgz-mfxcGzzTStTXk8s156hVJQSKv2soUlNkSpADT_Tcq5BG3vwpki1qxzogqYEe1ffyLzYb1SNuqI0SIQEhlRFrK6UnOouetb1TWkFKm9K1r5kIAiHo545Eea7bZujuzHYWD24CphSEcexXCXMQRoYUaNKjTck2VvmEFvirifgiPjLthsbGtG4QAdm48LBqdFU8DzlbUhQrgq151DWC5_d0tkHfgg1sCATulr-qBvBvUoqzY9Judom7t60_mCHbRIMyMb6AE3RpWjKYEUty7HuRcieBceOgri-LB9k40VtOd5CHaMhoAML847pbtfdMLpt6yh65nKIkxLc4y--LUArXizo0beivLHkegY8-K13N8oteBx1fTzbLzFxUUw7YFoEGLMFNr7TCDcpvqC_PmzebA9_-M7TD5rAWi42zcdNwMu6LK0MTGpKuYyXRiEPF-WYgvv9jaKpkozaeUih56HPIICJy_bEkch1PgICIGtZ_2yX0duB_np6cNEDTX5D2kS3LsB26WmstgLwzML9-x1ofcc9asH4p3kvjuHabn-kfwGS9v56sEqhm0-t12SfAjT8OWX0mbnoUGvFijhJSNTFKMUIzayVZ7YEBknCmFZUMQeOP4S_-4llCeoX7zPkHIiT9y0ZzaGAxpQOZ7HSV-Yv62a2kySydBowDCM0msFrJphJhHeHArYMX_YCQQORBmJQLab9xngGzqHR_3_rz77HR-q1dBveGnGEYQsU67tSygDKVF3-C_2V19YsfXgpRVscCRQ170ST9b3xgB6Xre_kC0aTIj6RhLNY1oYjAAUS6GPZy689vqwIQL_S42CTlP63pXNRUNPmnvTp3kLw&reqid=XejBE3fY5DrfvNvK&type=CLICK&pos=41,-28%,58.0,555640000.0,smartphone
417,Điện Thoại Xiaomi Redmi 10C - Hàng chính hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-hang-chinh-hang-p195231233.html?spid=216725149,-17%,,,smartphone
418,Điện Thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng Chính Hãng,7104000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-hang-chinh-hang-p85042408.html?spid=216725390,-32%,,,smartphone
419,Điện Thoại Xiaomi Redmi 10 4GB/64GB - Hàng Chính Hãng,7104000,https://tiki.vn/dien-thoai-xiaomi-redmi-10-4gb-64gb-hang-chinh-hang-p120782084.html?spid=250549931,-19%,,,smartphone
420,Điện Thoại Xiaomi Redmi A1 2GB/32GB - Hàng Chính Hãng,3618000,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-hang-chinh-hang-p198968094.html?spid=198968096,-10%,8.0,28944000.0,smartphone
421,Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,4746000,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p247016383.html?spid=247016400,-27%,6.0,28476000.0,smartphone
422,Điện Thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,12264000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12s-8gb-256gb-hang-chinh-hang-p261965186.html?spid=261965197,-13%,1.0,12264000.0,smartphone
423,Điện thoại Xiaomi 12 Pro (12GB/256GB) - Hàng chính hãng,37800000,https://tiki.vn/dien-thoai-xiaomi-12-pro-12gb-256gb-hang-chinh-hang-p194020045.html?spid=216970953,-33%,,,smartphone
424,Điện thoại Xiaomi Redmi 10 5G - Hàng chính hãng,7104000,https://tiki.vn/dien-thoai-xiaomi-redmi-10-5g-chinh-hang-p181699158.html?spid=216724969,-17%,,,smartphone
425,"Điện thoại Xiaomi Redmi A2| IPS LCD 6.52"" HD+| MediaTek Helio G36| 5000 mAh - Hàng chính hãng",3550000,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-ips-lcd-6-52-hd-mediatek-helio-g36-5000-mah-hang-chinh-hang-p271451188.html?spid=273356446,-20%,,,smartphone
426,Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,16998000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-pro-5g-8gb-256gb-hang-chinh-hang-p249955152.html?spid=249955156,-19%,2.0,33996000.0,smartphone
427,Điện Thoại Xiaomi Redmi Note 11 Pro 5G 8GB/128GB - Hàng Chính Hãng,13198000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-11-pro-5g-8gb-128gb-hang-chinh-hang-p169520871.html?spid=169520877,-14%,11.0,145178000.0,smartphone
428,Điện Thoại Xiaomi Redmi 12C - Hàng Chính Hãng,6180000,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-hang-chinh-hang-p263454187.html?spid=263454196,-32%,1.0,6180000.0,smartphone
429,Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng,6098000,https://tiki.vn/dien-thoai-xiaomi-redmi-13c-6gb-128gb-hang-chinh-hang-p273357326.html?spid=273357328,,1.0,6098000.0,smartphone
430,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,3898000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p189466001.html?spid=189466007,,2.0,7796000.0,smartphone
431,Điện Thoại Xiaomi Redmi A2 2GB/32GB - Hàng Chính Hãng,3618000,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-2gb-32gb-hang-chinh-hang-p273016223.html?spid=273016227,,,,smartphone
432,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,3530000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p172329599.html?spid=172331261,,25.0,88250000.0,smartphone
433,Điện thoại Xiaomi Redmi Note 12S (8GB/256GB) - Hàng Chính Hãng,13980000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12s-8gb-256gb-hang-chinh-hang-p263450987.html?spid=263450991,,,,smartphone
434,Điện Thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng Chính Hãng,8980000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-hang-chinh-hang-p263448701.html?spid=263448712,,,,smartphone
435,"Điện thoại Xiaomi Redmi A2 MediaTek Helio G36 , Pin 5000 mAh - Hàng chính hãng",3550000,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-mediatek-helio-g36-pin-5000-mah-hang-chinh-hang-p273438769.html?spid=273438771,,2.0,7100000.0,smartphone
436,Điện thoại Xiaomi REDMI 9A (2+32) Xanh lá - Hàng chính hãng (chỉ giao HN và một số khu vực),4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2-32-xanh-la-p176438844.html?spid=216725399,,,,smartphone
437,Điện thoại Xiaomi Redmi A2 (2GB/32GB) - Hàng chính hãng,3758000,https://tiki.vn/dien-thoai-xiaomi-redmi-a2-2gb-32gb-hang-chinh-hang-p273165324.html?spid=273165328,,,,smartphone
438,Điện thoại Xiaomi Redmi 10C (4GB/128GB) - Hàng chính hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p172589109.html?spid=216724976,,,,smartphone
439,Điện thoại Xiaomi Redmi A1 - Hàng chính hãng,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-chinh-hang-viettel-store-p199901837.html?spid=216725017,,,,smartphone
440,Điện thoại Xiaomi Redmi 10C (4GB/64GB) - Hàng chính hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-64gb-hang-chinh-hang-p177814405.html?spid=216725325,,,,smartphone
441,Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,4878000,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p245770248.html?spid=245770254,,1.0,4878000.0,smartphone
442,"Điện thoại thông minh XIAOMI Redmi 10A 2GB+32GB/3GB+64GB MediaTek Helio G25 | 6,53"" HD+ Hàng chính hãng",5112000,https://tiki.vn/dien-thoai-thong-minh-xiaomi-redmi-10a-2gb-32gb-3gb-64gb-mediatek-helio-g25-6-53-hd-p195330986.html?spid=216725254,,,,smartphone
443,Điện thoại Xiaomi Redmi 10C (4 +128) Xám - Hàng Chính Hãng (chỉ giao HN và một số khu vực),5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128-xam-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p207268082.html?spid=216939586,,,,smartphone
444,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Granite Gray,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-granite-gray-p168320000.html?spid=243245430,,,,smartphone
445,Điện thoại Xiaomi Redmi 12 8GB/128GB - Hàng Chính Hãng,8780000,https://tiki.vn/dien-thoai-xiaomi-redmi-12-8gb-128gb-hang-chinh-hang-p273511450.html?spid=273511456,,,,smartphone
446,Điện Thoại Xiaomi Redmi 10A 2GB/32GB - Hàng Chính Hãng,5112000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p190547041.html?spid=216942513,,,,smartphone
447,Điện thoại Xiaomi Redmi 9A 2GB/32GB Xám - Hàng chính hãng,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-xam-hang-chinh-hang-p212329857.html?spid=243245413,,1.0,4176000.0,smartphone
448,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,5112000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p189677315.html?spid=216725199,,,,smartphone
449,Điện thoại Xiaomi Redmi 9A - Hàng chính hãng,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-chinh-hang-p181699053.html?spid=249388408,,,,smartphone
450,Điện thoại Xiaomi Redmi 12C (4GB/64GB) - Hàng chính hãng,6336000,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p244167098.html?spid=247306281,,,,smartphone
451,Điện thoại Xiaomi Redmi A1 (2GB/32GB) - Hàng chính hãng,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-hang-chinh-hang-p199196755.html?spid=216725020,,,,smartphone
452,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Sky Blue,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-sky-blue-p115830124.html?spid=243245296,,,,smartphone
453,"Điện thoại Xiaomi Redmi 9A 2GB/32GB - Chip MediaTek Helio G25 8 nhân (12 nm), Màn hình 6.53"" HD+, Camera 13MP, Pin 5000 - Hàng Chính Hãng",4296000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-chip-mediatek-helio-g25-8-nhan-12-nm-man-hinh-6-53-hd-camera-13mp-pin-5000-p165747145.html?spid=243245455,,,,smartphone
454,Điện thoại Xiaomi REDMI 9A (2+32) Xanh dương - Hàng chính hãng (chỉ giao HN và một số khu vực),4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2-32-xanh-duong-p176438864.html?spid=243245332,,,,smartphone
455,"Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng, Nguyên seal, Fullbox",5112000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-nguyen-seal-fullbox-p191916060.html?spid=250473721,,,,smartphone
456,Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p170775712.html?spid=216725338,,1.0,5700000.0,smartphone
457,Điện thoại Xiaomi Redmi 10C 4GB/128GB Xám - Hàng Chính Hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-xam-hang-chinh-hang-p188835531.html?spid=216725320,-19%,,,smartphone
458,Điện thoại Xiaomi Redmi A1 2GB + 32GB Camera kép - Pin 5000mAh - Màn hình độ phân giải HD+ - Hàng chính hãng,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-camera-kep-pin-5000mah-man-hinh-do-phan-giai-hd-hang-chinh-hang-p198363821.html?spid=216725038,,,,smartphone
459,Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128gb-p172555765.html?spid=216936728,,,,smartphone
460,Điện thoại Xiaomi Redmi 10C 4GB/128GB Xanh Dương - Hàng Chính Hãng,6936000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-xanh-duong-hang-chinh-hang-p188837747.html?spid=216725086,,,,smartphone
461,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng Chính Hãng,5112000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p191629873.html?spid=216725310,,,,smartphone
462,Điện thoại Xiaomi Redmi 10C (4 +128) Xanh Dương - Hàng Chính Hãng (chỉ giao HN và một số khu vực),6936000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128-xanh-duong-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p207268125.html?spid=216940076,,,,smartphone
463,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,5112000,https://tiki.vn/dien-thoai-xiaomi-redmi-10a-2gb-32gb-hang-chinh-hang-p191764688.html?spid=250473423,,,,smartphone
464,Điện thoại Xiaomi Redmi 10C 4/128GB - Hàng chính hãng,5700000,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4-128gb-chinh-hang-p181699370.html?spid=216725083,,,,smartphone
465,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Peacock Green,4176000,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-peacock-green-p168317790.html?spid=216725106,,,,smartphone
466,Điện Thoại Xiaomi Redmi Note 12 Pro 8GB/256GB - Hàng Chính Hãng,12978000,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-pro-8gb-256gb-hang-chinh-hang-p270249637.html?spid=270249639,,,,smartphone
467,"Điện thoại ZTE Blade A52 4GB l 64GB, Pin 5000mAh, Màn hình 6.52"", Camera AI Triple - Hàng chính hãng",6980000,https://tiki.vn/dien-thoai-zte-blade-a52-4gb-l-64gb-pin-5000mah-man-hinh-6-52-camera-ai-triple-hang-chinh-hang-p194462682.html?spid=194462684,,1.0,6980000.0,smartphone
468,"Điện thoại ZTE Blade V40 Vita (ZTE 8045) - MH giọt nước HD+ 6.75"" - Pin 6000 mAh sạc nhanh 22.5W - Bộ nhớ mở rộng (4+2)GB - Hàng chính hãng",8580000,https://tiki.vn/dien-thoai-zte-blade-v40-vita-mh-giot-nuoc-hd-6-75-pin-6000-mah-sac-nhanh-22-5w-bo-nho-mo-rong-4-2-gb-hang-chinh-hang-p181216830.html?spid=181216836,,,,smartphone
