,title,price,link_item,index,discount,sales,brand,category,revenue
20,Điện thoại để bàn Panasonic KX-TS560 hàng chính hãng,600000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts560-hang-chinh-hang-p16518032.html?spid=49302194,7,,7.0,Panasonic,dienthoaiban,4200000.0
21,Điện thoại không dây Panasonic KX-TGC212 - Hàng Chính Hãng,1650000,https://tiki.vn/dien-thoai-khong-day-panasonic-kx-tgc212-hang-chinh-hang-p21465183.html?spid=49302206,8,,15.0,Panasonic,dienthoaiban,24750000.0
22,Điện thoại Panasonic KX-TGF320CX -Hàng chính hãng,2499000,https://tiki.vn/dien-thoai-panasonic-kx-tgf320cx-hang-chinh-hang-p118146255.html?spid=118146257,9,,8.0,Panasonic,dienthoaiban,19992000.0
23,Điện thoại bàn Panasonic KX-TGF310 hàng chính hãng,2250000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgf310-hang-chinh-hang-p164318603.html?spid=164318604,10,,34.0,Panasonic,dienthoaiban,76500000.0
24,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,299000,https://tiki.vn/dien-thoai-de-ban-panasonic-kx-ts500mx-hang-chinh-hang-p23865953.html?spid=50475052,11,,69.0,Panasonic,dienthoaiban,20631000.0
25,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng - Trắng,588000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tsc11-hang-chinh-hang-p204237269.html?spid=204267315,12,,245.0,Panasonic,dienthoaiban,144060000.0
26,Điện Thoại Bàn Panasonic KXTGC313CX - Hàng Chính Hãng,2150000,https://tiki.vn/dien-thoai-ban-panasonic-kxtgc313cx-hang-chinh-hang-p4064449.html?spid=43205331,13,,2.0,Panasonic,dienthoaiban,4300000.0
27,Điện thoại bàn không dây Panasonic KX-TGB112 - Hàng Chính Hãng,1250000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgb112-hang-chinh-hang-p11251743.html?spid=42326767,14,,19.0,Panasonic,dienthoaiban,23750000.0
28,Điện thoại bàn không dây Panasonic KX-TGC312 - Hàng chính hãng,1360000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgc312-hang-chinh-hang-p11251735.html?spid=49302209,15,,6.0,Panasonic,dienthoaiban,8160000.0
29,Điện thoại bàn Panasonic KX-TGB112 hàng chính hãng,1250000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgb112-hang-chinh-hang-p164318507.html?spid=164318508,16,,16.0,Panasonic,dienthoaiban,20000000.0
30,Điện Thoại Bàn Panasonic KX-TS500MX - Panasonic KX-TS500MX Integrated Telephone System - Hàng chính hãng,299000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts500mx-panasonic-kx-ts500mx-integrated-telephone-system-hang-chinh-hang-p31820638.html?spid=49302144,17,,95.0,Panasonic,dienthoaiban,28405000.0
31,Điện thoại Panasonic KX-TSC11MX -Hàng chính hãng,599000,https://tiki.vn/dien-thoai-panasonic-kx-tsc11mx-hang-chinh-hang-p117929342.html?spid=117929343,18,,42.0,Panasonic,dienthoaiban,25158000.0
32,Điện thoại bàn không dây Panasonic KX-TGB110-Hàng Chính Hãng,800000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgb110-hang-chinh-hang-p11251951.html?spid=51326642,19,,13.0,Panasonic,dienthoaiban,10400000.0
33,Điện thoại bàn không dây Panasonic KX-TGF310 - Hàng Chính Hãng,2265000,https://tiki.vn/dien-thoai-ban-khong-day-panasonic-kx-tgf310-hang-chinh-hang-p21317020.html?spid=49302166,20,,15.0,Panasonic,dienthoaiban,33975000.0
34,Điện thoại bàn Panasonic KX-TGC312 hàng chính hãng,1590000,https://tiki.vn/dien-thoai-ban-panasonic-kx-tgc312-hang-chinh-hang-p181928189.html?spid=181928190,21,,28.0,Panasonic,dienthoaiban,44520000.0
35,Điện thoại bàn Panasonic KX-TS880 hàng chính hãng,1050000,https://tiki.vn/dien-thoai-ban-panasonic-kx-ts880-hang-chinh-hang-p181977398.html?spid=181977400,22,,39.0,Panasonic,dienthoaiban,40950000.0
