,title,price,link_item,index,discount,sales
6,(TẶNG 1 SON) Son kem lì Hapy Matte Lipstick Cream MiniGarden không chì lâu trôi không lem dính khẩu trang kháng nước,269.000₫,https://tiki.vn/1-tang-1-son-kem-li-hapy-matte-lipstick-cream-minigarden-p161239534.html?spid=161239573,7,,Đã bán 2
7,Kem CC trang điểm Whoo Mi Essential CC Cream SPF25/PA++ 40ml,931.000₫,https://tiki.vn/kem-cc-trang-diem-whoo-mi-essential-cc-cream-spf25-pa-40ml-p33143459.html?spid=57913300,8,-38%,Đã bán 15
8,Bảng mắt Dior 5 Couleurs Couture,1.050.000₫,https://tiki.vn/bang-mat-dior-5-couleurs-couture-p248784087.html?spid=248784093,9,-35%,Đã bán 1
9,,,https://tiki.vn/bo-co-trang-diem-9-cay-aw01-cao-cap-long-sieu-mem-min-bam-phan-hieu-qua-phu-hop-moi-loai-da-khong-gay-kho-chiu-cho-nguoi-dung-co-tui-hop-da-nho-gon-tien-dung-day-du-co-voi-chuc-nang-makeup-hieu-qua-cam-thoai-mai-de-su-dung-p145765102.html?spid=145765106,10,-30%,
10,Cọ trang điểm chuyên nghiệp bộ 24 cây ( Mã hang: 5880 ),102.000₫,https://tiki.vn/co-trang-diem-chuyen-nghiep-bo-24-cay-ma-hang-5880-p19845332.html?spid=56989887,11,-5%,Đã bán 9
11,Phấn mắt Bbia Ready To Wear Eye Shadow (10 màu),105.000₫,https://tiki.vn/phan-mat-bbia-ready-to-wear-eye-shadow-10-mau-p198243669.html?spid=198243683,12,,Đã bán 6
12,,,https://tiki.vn/phan-mat-vacosi-3-mau-natural-studio-5g-vp06-03-p270127962.html?spid=270127963,13,,
13,Phấn trang điểm siêu mịn Suri Collagen Two Way Cake Hàn Quốc 100g No.12 Da Sáng tăng kèm móc khoá,369.000₫,https://tiki.vn/phan-trang-diem-sieu-min-suri-collagen-two-way-cake-han-quoc-100g-no-12-da-sang-tang-kem-moc-khoa-p20780896.html?spid=24501112,14,,Đã bán 9
14,Son thỏi mịn môi lâu phai Naris Ceniciente Lipstick Nhật Bản 3g (#102: Hồng đào) + Móc khóa,425.000₫,https://tiki.vn/son-thoi-min-moi-lau-phai-naris-ceniciente-lipstick-nhat-ban-3g-102-hong-dao-moc-khoa-p19345155.html?spid=19345156,15,,Đã bán 8
15,Chì Kẻ Mày Xéo Suri Eyebrow Pencil E424- #102 - Nâu,26.000₫,https://tiki.vn/chi-ke-may-xeo-suri-eyebrow-pencil-e271-102-nau-p32243803.html?spid=32243805,16,,Đã bán 230
16,Lipgloss dưỡng môi Dầu dừa MILAGANICS 5ml,39.000₫,https://tiki.vn/lipgloss-duong-moi-dau-dua-milaganics-5ml-p58226942.html?spid=154280545,17,,Đã bán 97
17,,,https://tiki.vn/phan-nen-phu-dang-nen-2-trong-1-voi-do-che-phu-hoan-hao-va-ben-mau-den-12-gio-mac-studio-fix-powder-plus-foundation-15g-p184505780.html?spid=184505802,18,,
18,Kem che khuyết điểm Makeup Revolution Conceal And Define Concealer,199.000₫,https://tiki.vn/kem-che-khuyet-diem-makeup-revolution-conceal-and-define-concealer-p37486947.html?spid=37486953,19,,Đã bán 17
19,Son kem lì FOCALLURE velvet smooth 2.4g,99.000₫,https://tiki.vn/son-kem-li-focallure-velvet-smooth-2-4g-p271537386.html?spid=271537390,20,,
20,Dụng cụ kẻ vẽ mi mắt KM09 (Giao mầu ngẫu nhiên),32.000₫,https://tiki.vn/dung-cu-ke-ve-mi-mat-km09-giao-mau-ngau-nhien-p35614181.html?spid=35614182,21,,Đã bán 7
21,Phấn Phủ Meishoku Moist-Labo BB Mineral Foundation (6g) - Màu 3 - Đậm,249.000₫,https://tiki.vn/phan-phu-meishoku-moist-labo-bb-mineral-foundation-6g-p960766.html?spid=50420061,22,,Đã bán 24
22,Kem nền chống nắng BB ngọc trai Ekel,99.000₫,https://tiki.vn/kem-nen-chong-nang-bb-ngoc-trai-ekel-p63925518.html?spid=63925519,23,,Đã bán 9
23,Son Kem Lì Apieu True Matt Fluid + Tặng 1 Mặt Nạ Baresio Mùi Bất kỳ,149.000₫,https://tiki.vn/son-kem-li-apieu-true-matt-fluid-tang-1-mat-na-baresio-mui-bat-ky-p42405166.html?spid=42405415,24,,Đã bán 49
24,Sơn móng tay siêu xinh chuẩn màu Gossman Nail Polish 12ml,19.000₫,https://tiki.vn/son-mong-tay-sieu-xinh-chuan-mau-gossman-nail-polish-12ml-p204318366.html?spid=204318398,25,,Đã bán 11
25,,,https://tiki.vn/phan-nuoc-mini-garden-3-in-1-cc-cushion-spf-40-pa-1-loi-x-12g-pv991-p141235823.html?spid=148810135,26,,
26,"Son dưỡng DHC Lip Cream 1,5g",199.000₫,https://tiki.vn/son-duong-dhc-lip-cream-1-5g-p72213868.html?spid=72213869,27,,Đã bán 36
27,"Cọ trang điểm, đắp mặt nạ đầu Silicon",10.000₫,https://tiki.vn/co-trang-diem-dap-mat-na-dau-silicon-p135538474.html?spid=135538486,28,,Đã bán 69
