,title,price,link_item,index,discount,sales
0,Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,4.790.000₫,https://tka.tiki.vn/pixel/pixel?data=by-ofrnwAotf48Pq41OuDb3fkm3XBAUOnQJXIqSkJUbZJD3y_oKTNumAx3hvN1AwQnmEEj4K2-EaR9rY4-2ckiGKMY8dwkveWP5AbnJEIXE1AuKAXIsGZIl-96Oqs9DezBF4IIVWRzQrigjO_MyIHcqG3tO4Blm0u1btfIoMh6anOuj_mM36YCsCj_JMLf3ncO6tu6lN8AFuE1KY_G_wkYZDJ_atCr4yDKEfFCkdH7VLCvrQPO-8lQBzaUyjFdr_fgrKdyJ7sKnotDO7HMiPTo4htWDWOr2vqQ8h36c-VNCuj19cXZDbRRs7M2uA2pQy1OBEjfjVa8SkYMEBUqRw7sKfcNXfwhHW8PJbZ1Ow8nHYdke2oENvcP9VB7ef3mn7jSUYBieO9oGjwPf5o-Q0v07iFmZmQb83GDHv24DLu7kYf4Re3oWjMbN7hF0BaYII8OEJYwLAHpTZml4hzWAoPnteR8nQolNXzSTDvnUO-cQF5ivXiF6fo8h3c7uA3NtO9gydy-tAjj2UJJST2K-HnmyQJ_ZzpzCn9tkFFj5EYEuaE_FtHaDs6_1y-u9YFJufgIoV_X8aLnDwfOeYoXJi6fu-xLGOr5IR7RSmEcnAAImN8e1utqK2ygptoudtG4IBvdvjMTlALBWFjWh4qeSM3eM2aBrqfo8YGpTvJADwqWeGKiGGglkGdXA4VclCrN6wps9Lq9JMsC6jmwAqtEroNMefUaCUwd6JWbSOsadOn6zgzWZXp-sZLV7dIisE2L48UQn-6rhgMvoQAHrH2D9WcuKZNCZC9n9OtEbV_jqK1r4yUEPT85hE2qDxnXs2D8o9U7k27Pujcr_z0myv03KzgWOj6Wzo_qjDYQIsQcGKekRlWStSUSFck8zlGugq5OLruhpQxGMtOF32QGqWI8k0c4R2D7t1zhp25Ka2vsDSaRaLohDP0QmFix5hP9Vfoe2omCIk9_IRqt28jz2FgZ__L5kJzF4HmeZiFk7X0icCqSQlnPWt0tH_RKMwu7XkT7JxmfF9tonaLA3s6w&reqid=LBNSVWEKUEyDiyM1&type=CLICK&pos=1,1,-28%,Đã bán 58
1,Điện thoại Xiaomi Redmi 9A (2GB/32GB),1.750.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-9a-2gb-32gb-hang-chinh-hang-p57809866.html?spid=196161253,2,-30%,Đã bán 5k+
2,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,4.150.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p271046571.html?spid=271046583,3,-13%,Đã bán 92
3,Điện thoại Xiaomi Redmi 10 2022 (4GB/128GB) - Hàng chính hãng,2.750.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10-2022-4gb-128gb-hang-chinh-hang-p272151221.html?spid=272151254,4,-31%,Đã bán 43
4,Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,3.490.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-hang-chinh-hang-p250109584.html?spid=271046178,5,-30%,Đã bán 80
5,Điện thoại Xiaomi Redmi Note 10 JE 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,2.375.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-je-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230155305.html?spid=230155311,6,-40%,Đã bán 98
6,Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,4.400.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p250111470.html?spid=250111476,7,-24%,Đã bán 70
7,Điện Thoại Xiaomi Redmi 12C 4GB/64GB - Hàng Chính Hãng,2.490.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-4gb-64gb-hang-chinh-hang-p244308977.html?spid=248172324,8,-31%,Đã bán 116
8,Điện thoại Xiaomi Redmi Note 10T 5G 4GB/64GB - Màn 90HZ - Chống Nước IP68 - Hàng Nhập Khẩu - Bản quốc tế,2.444.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10t-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230157205.html?spid=230157209,9,-42%,Đã bán 55
9,Điện thoại Xiaomi Redmi 10C (4GB/128GB),2.950.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p171897574.html?spid=216003203,10,-33%,Đã bán 257
10,Điện thoại Xiaomi Redmi A1 (2GB/32GB),1.650.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-a1-2gb-32gb-hang-chinh-hang-p198648645.html?spid=198648647,11,-34%,Đã bán 159
11,Điện thoại Xiaomi Redmi 12C (3GB/32GB) - Hàng chính hãng,2.009.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-12c-3gb-32gb-hang-chinh-hang-p248590019.html?spid=248590023,12,-44%,Đã bán 49
12,Điện thoại Xiaomi Redmi Note 12S 4G (8GB/256GB) - Hàng chính hãng,4.790.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12s-4g-8gb-128gb-hang-chinh-hang-p259542697.html?spid=259542703,13,-28%,Đã bán 58
13,Điện thoại Xiaomi Redmi 13C (6GB/128GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,2.900.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-13c-6gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p273378164.html?spid=273378170,14,-17%,Đã bán 1
14,Điện Thoại Xiaomi Redmi Note 12 8GB/128GB - Hàng Chính Hãng,4.459.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p272056193.html?spid=272056197,15,-23%,Đã bán 6
15,Điện Thoại Xiaomi Redmi 10C 4GB/128GB - Hàng Chính Hãng,2.850.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-10c-4gb-128gb-hang-chinh-hang-p179589103.html?spid=216724978,16,-12%,
16,Điện thoại Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) - Hàng chính hãng,7.990.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-pro-4g-8gb-256gb-hang-chinh-hang-p258667842.html?spid=258767730,17,-26%,Đã bán 16
17,Điện thoại Xiaomi Redmi Note 12 Pro 5G (8GB/256GB) - Hàng chính hãng,8.390.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-pro-5g-8gb-256gb-hang-chinh-hang-p250113073.html?spid=250115036,18,-15%,Đã bán 21
18,Điện Thoại Xiaomi Redmi Note 12 4GB/128GB - Hàng Chính Hãng,3.689.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-hang-chinh-hang-p249890677.html?spid=249890681,19,-4%,Đã bán 123
19,Điện thoại Xiaomi 13T Pro (12GB/512GB) - Hàng chính hãng,14.500.000₫,https://tiki.vn/dien-thoai-xiaomi-13t-pro-12gb-512gb-hang-chinh-hang-p272397263.html?spid=272397285,20,-16%,Đã bán 1
20,Điện thoại Xiaomi 12 (8 GB/256 GB) - Hàng chính hãng,12.900.000₫,https://tiki.vn/dien-thoai-xiaomi-12-8-gb-256-gb-hang-chinh-hang-p189932777.html?spid=216971215,21,-26%,Đã bán 1
21,XIAOMI 13T 5G (12GB-256GB) - Hàng chính hãng,11.500.000₫,https://tiki.vn/xiaomi-13t-5g-12gb-256gb-hang-chinh-hang-p272555368.html?spid=272555467,22,-28%,Đã bán 3
22,Điện Thoại Xiaomi Redmi 13C 6GB/128GB - Hàng Chính Hãng,2.929.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-13c-6gb-128gb-hang-chinh-hang-p273367316.html?spid=273367318,23,-18%,Đã bán 3
23,"Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) Màn AMOLED 120HZ, Snapdragon 685 , Sạc 33W - Hàng chính hãng",3.699.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-4gb-128gb-man-amoled-120hz-snapdragon-685-sac-33w-hang-chinh-hang-p251514670.html?spid=251514676,24,-40%,Đã bán 10
24,Điện Thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng Chính Hãng,5.990.000₫,https://tiki.vn/dien-thoai-xiaomi-redmi-note-12-8gb-128gb-hang-chinh-hang-p263764281.html?spid=263764283,25,-18%,Đã bán 5
25,Điện thoại Xiaomi POCO C65 (6GB/128GB) - Helio G85 - Màn 90HZ - Hàng chính hãng,2.890.000₫,https://tiki.vn/dien-thoai-xiaomi-poco-c40-6gb-128gb-helio-g85-man-90hz-hang-chinh-hang-p273454566.html?spid=273454572,26,-26%,
