,title,price,link_item,index,discount,sales,Unnamed: 0
1,Điện Thoại Itel S23 4GB/128GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,2.090.000₫,https://tiki.vn/dien-thoai-itel-s23-4gb-128gb-pin-5000mah-6-6-inch-camera-50mp-hang-chinh-hang-p270714226.html?spid=270714228,2,-19%,Đã bán 28,
2,Điện Thoại Itel S23 128GB/16GB (8GB+8GB) | Pin 5000mAh | 6.6 Inch | Camera 50MP | 90Hz | Face ID - Hàng chính Hãng,2.449.000₫,https://tiki.vn/dien-thoai-itel-s23-128gb-16gb-8gb-8gb-pin-5000mah-6-6-inch-camera-50mp-90hz-face-id-hang-chinh-hang-p258373871.html?spid=258373875,3,-30%,Đã bán 34,
3,"Điện thoại Bphone A60 (Ram 6Gb,Rom 128 Gb,màn hình đục lổ FHD 6.7inch , pin 5.000mAh ) - Hàng chính hãng",6.490.000₫,https://tiki.vn/dien-thoai-bphone-a60-ram-6gb-rom-128-gb-man-hinh-duc-lo-fhd-6-7inch-pin-5-000mah-p151463645.html?spid=151463646,4,-23%,Đã bán 1,
4,Điện Thoại Bphone 3 (Trắng) - Hàng Chính Hãng,6.990.000₫,https://tiki.vn/dien-thoai-bphone-3-hang-chinh-hang-p5868813.html?spid=28298790,5,,Đã bán 5,
5,"Điện thoại thông minh itel A26 - giá rẻ | 2 Sim 2 Sóng 4G LTE | Màn hình IPS 5.7"" HD+ | RAM 2GB + ROM 32 GB (Hỗ trợ thẻ nhớ 32 GB) | Mở khoá bằng Gương Mặt | Chính Hãng bảo hành 12 tháng| 1 đổi 1 trong 30 ngày",2.390.000₫,https://tiki.vn/dien-thoai-thong-minh-itel-a26-gia-re-2-sim-2-song-4g-lte-man-hinh-ips-5-7-hd-ram-2gb-rom-32-gb-ho-tro-the-nho-32-gb-mo-khoa-bang-guong-mat-chinh-hang-bao-hanh-12-thang-1-doi-1-trong-30-ngay-p147969070.html?spid=147969294,6,,Đã bán 7,
6,Điện Thoại Itel S23 16GB(8GB+8GB)/256GB | Pin 5000mAh | 6.6 Inch | Camera 50MP | HÀNG CHÍNH HÃNG,2.692.000₫,https://tiki.vn/dien-thoai-itel-s23-16gb-8gb-8gb-256gb-pin-5000mah-6-6-inch-camera-50mp-hang-chinh-hang-p273498357.html?spid=273498361,7,,Đã bán 1,
0,"Điện thoại smartphone Masstel Hapi 15 (2GB/16GB) - 2 Sim, Tặng kèm ốp lưng - Hàng chính hãng - Bảo hành chính hãng",1.499.000₫,https://tiki.vn/dien-thoai-smartphone-masstel-hapi-15-2gb-16gb-2-sim-tang-kem-op-lung-hang-chinh-hang-bao-hanh-chinh-hang-p271341795.html?spid=271341799,1,,,
1,Điện thoại Masstel Hapi 30 4G Hàng Chính Hãng,2.290.000₫,https://tiki.vn/combo-mua-1-tang-1-hap-dan-mua-1-dien-thoai-masstel-hapi-30-4g-hang-chinh-hang-tang-1-ung-dung-nexta-edu-6-thang-tren-nen-tang-windows-danh-cho-hoc-sinh-va-giao-vien-p263438008.html?spid=263438009,2,,Đã bán 1,
0,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,1.490.000₫,https://tiki.vn/dien-thoai-nokia-c30-2gb-32gb-hang-chinh-hang-p120295859.html?spid=120295861,1,-25%,Đã bán 786,
1,Điện thoại Nokia C32 (4GB/128GB) - Hàng chính hãng,2.770.000₫,https://tiki.vn/dien-thoai-nokia-c32-4gb-128gb-hang-chinh-hang-p270447782.html?spid=270447788,2,-16%,Đã bán 86,
2,Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,1.550.000₫,https://tiki.vn/dien-thoai-nokia-c30-2gb-32gb-hang-chinh-hang-p125590981.html?spid=125590983,3,-10%,Đã bán 114,
3,Điện thoại Nokia C21 Plus (2G/32G) - Pin lâu - Hàng chính hãng - Giá rẻ,1.791.000₫,https://tiki.vn/dien-thoai-nokia-c21-plus-2g-32g-pin-lau-hang-chinh-hang-gia-re-p252073027.html?spid=252073028,4,-28%,Đã bán 1,
4,Điện Thoại Nokia C30 2GB/32GB - Hàng Chính Hãng,1.640.000₫,https://tiki.vn/dien-thoai-nokia-c30-2gb-32gb-hang-chinh-hang-p246163082.html?spid=246163086,5,-43%,,
5,Điện thoại Nokia C20 2GB/32GB Xanh - Hàng Chính Hãng,1.410.000₫,https://tiki.vn/dien-thoai-nokia-c20-2gb-32gb-xanh-hang-chinh-hang-p188900310.html?spid=188900311,6,,,
6,Điện thoại Nokia C32 (4GB/128GB) - Hàng chính hãng,3.190.000₫,https://tiki.vn/dien-thoai-nokia-c32-4gb-128gb-hang-chinh-hang-p270161855.html?spid=270179517,7,,,
0,"Điện thoại Nubia Redmagic 6S Pro - (12+128GB/16+256GB) | Hỗ trợ Tiếng Việt | Snapdragon 888 | Màn hình AMOLED 6.8"" |Pin 5050 mAh | Sạc nhanh 66W - Chơi Game cực đỉnh - Hàng Chính Hãng",14.990.000₫,https://tiki.vn/dien-thoai-nubia-redmagic-6s-pro-12-128gb-16-256gb-ho-tro-tieng-viet-snapdragon-888-man-hinh-amoled-6-8-pin-5050-mah-sac-nhanh-66w-choi-game-cuc-dinh-hang-chinh-hang-p147877951.html?spid=272058574,1,-38%,,
0,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,15.990.000₫,https://tiki.vn/dien-thoai-oneplus-10t-5g-hang-chinh-hang-p193366048.html?spid=193366050,1,,,
0,Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,10.990.000₫,https://tka.tiki.vn/pixel/pixel?data=U3w0OwkNRDxU-nfSoO0YzgQMMfCss2mKs8nRHygeba9joprjTVx2ewrJ0kYxUBJ34tEtb7CnUMGFHctU9iKB-E1m9UvoHrLPGqFrXSsnkTQ7oVxxk-9HkKI4JHggh-io-YlK7Lht0uAXqZap_7obz72PAwKaZqmmvfvhWHqtPuP71u6Basg0rXb1JnZmGEpyWlrW9AzkDs_QD-SvA8_Ywh6aEI5gybQFPAfGH3Q0QMn17xtOamVUoUmMd7kMhYNefee-UULC5byRJhcrRmsO-eTqD1472E3Tuqi2O3i9KykAbYf9RQ8U1KuhAHT47MlezQNJeRYerUDh8eK487Bx1Mp18pbufjFU7APzEl-aigO0zJ83stVoInxh8iGTh5pGNU0CELbk1DsPUq1330u5jXyfv5SkFskhU6DuVsrHLZgerw73mO5WcOwbB009ejP3xR5LcidlnFw8sQ4ohN_zwyVD65faqTxOsiSnddsiAoMtJlhFD0csZclnSxCiA1YMcLw9maY8hB4yw_6MMNg0wmcMV-6tmEV1qOEL0yGKg6a_9vLR8XzRZK9jMH27yKBC1XNRRnyl2BiBK-ezwpf6tsq_sWPJHswHP1x9YNH0WZL9preO4_zhDT4a3QkBvjsst-yIwekwB8CjbDKIQ9i8bgWkXKcfiVI8_uUjh9KB4xLlcOZ_Cd1xPH4fD7NGZcLd4xoBXCu3mbq7hxaTV1XTXdlJIFUG_w_TgCmHXe9N4JVD4x-aTuxVy-7r70SBW4KyK7DMloLTA6Ca9Z8wRfRULSZrSnbgbb1ziuY0hspsg3C72fyxtOXfvMnBIFd9wX8Q2tDhhKDsLhpB4pBP67YZrc_spNWDqND3AMQ3LwhZvtGVfBubPjyvxlO0gQLibB9G8NWaKPZUUX0FiPZ1W9j9T0Wnn-wkHhGMaB1r3bwSBuZfYHSVFnv1bLMpieGOZ5FBmCjIux0bDa4K_Rx3fRVNCJCJ7c_T3A6hD2SgJP37FylRmcX7BgiydIaV-9D75y3C4Q&reqid=EUjumblpelCxpzez&type=CLICK&pos=1,1,-34%,Đã bán 17,0.0
1,Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,3.290.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p205750556.html?spid=263117365,2,-28%,Đã bán 5k+,1.0
2,Điện Thoại Oppo A17k (3GB/64GB),2.370.000₫,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p203853390.html?spid=203853394,3,-37%,Đã bán 5k+,2.0
3,Điện Thoại Oppo Reno8 5G (8GB/256GB),6.250.000₫,https://tiki.vn/dien-thoai-oppo-reno8-5g-8gb-256gb-hang-chinh-hang-p194487223.html?spid=194487225,4,-14%,Đã bán 256,3.0
4,Điện Thoại Oppo Reno 10 5G (8GB/256GB) - Hàng Chính Hãng,9.490.000₫,https://tiki.vn/dien-thoai-oppo-reno-10-8gb-256gb-hang-chinh-hang-p270875813.html?spid=270875858,5,-14%,Đã bán 23,4.0
5,Điện Thoại Oppo A78 8GB/256GB - Hàng Chính Hãng,5.990.000₫,https://tiki.vn/dien-thoai-oppo-a78-8gb-256gb-hang-chinh-hang-p270160350.html?spid=270161021,6,-19%,Đã bán 20,5.0
6,Điện thoại OPPO A55s 5G 4GB/64GB - Màn 90hz - Chống nước IP68 - Hàng nhập khẩu - Bản quốc tế,2.990.000₫,https://tiki.vn/dien-thoai-oppo-a55s-5g-4gb-64gb-man-90hz-chong-nuoc-ip68-hang-nhap-khau-ban-quoc-te-p230203067.html?spid=230203073,7,-13%,Đã bán 24,6.0
7,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,4.350.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-hang-chinh-hang-p270975124.html?spid=270975155,8,-14%,Đã bán 15,7.0
8,Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,10.990.000₫,https://tiki.vn/dien-thoai-oppo-reno10-5g-8gb-256gb-hang-chinh-hang-p271118390.html?spid=271121058,9,-13%,Đã bán 17,8.0
9,Điện thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.290.000₫,https://tiki.vn/dien-thoai-oppo-a78-6gb-128gb-hang-chinh-hang-p271087979.html?spid=271117937,10,-25%,Đã bán 11,9.0
10,Điện Thoại Oppo Reno8 T 5G 8GB/128GB - Hàng Chính Hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-5g-8gb-128gb-hang-chinh-hang-p230082250.html?spid=253386544,11,-12%,Đã bán 2,10.0
11,Điện thoại OPPO Reno8T 5G (8GB/128GB) - Hàng chính hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8t-5g-8gb-128gb-hang-chinh-hang-p215746871.html?spid=253386534,12,-40%,Đã bán 2,11.0
12,Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,3.490.000₫,https://tiki.vn/dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p101018339.html?spid=272218948,13,-14%,Đã bán 1,12.0
13,Điện Thoại OPPO A77s (8GB/128GB) - Hàng Chính Hãng,4.690.000₫,https://tiki.vn/dien-thoai-oppo-a77s-8gb-128gb-hang-chinh-hang-p210280612.html?spid=273356414,14,-23%,,13.0
14,Điện Thoại Oppo A54 (4GB/128GB),3.912.000₫,https://tiki.vn/dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-p91612670.html?spid=253384478,15,-14%,,14.0
15,"Điện thoại OPPO A58 6GB/128GB , Sạc nhanh 33W - Hàng Chính Hãng",4.390.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-sac-nhanh-33w-hang-chinh-hang-p271954384.html?spid=271954388,16,-22%,Đã bán 2,15.0
16,"Điện thoại OPPO Reno9 A ( 8GB/128GB) Snapdragon 695 5G, Kháng nước IP68 Màn hình AMOLED 90 Hz - Hàng nhập khẩu -Bản quốc tế",4.815.000₫,https://tiki.vn/dien-thoai-oppo-reno9-a-8gb-128gb-snapdragon-695-5g-khang-nuoc-ip68-man-hinh-amoled-90-hz-hang-nhap-khau-ban-quoc-te-p273355923.html?spid=273356137,17,-5%,Đã bán 3,16.0
17,Điện thoại OPPO Reno8 Z 5G (8 GB/256 GB) - Hàng chính hãng,8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8-gb-256-gb-hang-chinh-hang-p195962857.html?spid=253386407,18,-21%,,17.0
18,Điện Thoại Oppo A58 6GB/128GB - Hàng Chính Hãng,4.289.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-hang-chinh-hang-p271128271.html?spid=271128275,19,,Đã bán 3,18.0
19,Điện Thoại Oppo A77s (8GB/128GB),4.859.000₫,https://tiki.vn/dien-thoai-oppo-a77s-8gb-128gb-hang-chinh-hang-p200732479.html?spid=200732481,20,,Đã bán 4,19.0
20,Điện Thoại Oppo Reno 8T 5G (8GB/256GB) - Hàng Chính Hãng - Đen,8.000.000₫,https://tiki.vn/dien-thoai-oppo-reno-8t-5g-8gb-256gb-hang-chinh-hang-p216107577.html?spid=253399565,21,,,20.0
21,Điện Thoại Oppo A18 (4GB/128GB) - Hàng Chính Hãng,3.450.000₫,https://tiki.vn/dien-thoai-oppo-a18-4gb-128gb-hang-chinh-hang-p273252926.html?spid=273253124,22,,,21.0
22,Điện thoại OPPO Reno8 T 4G (8GB/256GB) - Hàng Chính Hãng,8.136.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-4g-8gb-256gb-hang-chinh-hang-p243165179.html?spid=253386509,23,,,22.0
23,Điện Thoại Oppo A57 4GB/64GB - Hàng Chính Hãng,4.284.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-64gb-hang-chinh-hang-p190544267.html?spid=253386241,24,,,23.0
24,Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,3.659.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p205846229.html?spid=205846231,25,,Đã bán 12,24.0
25,Điện Thoại Oppo Reno8 Z 5G 8GB/256GB - Hàng Chính Hãng,8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-p197497444.html?spid=253386526,26,,,25.0
26,Điện thoại OPPO CPH2387 - A57 Xanh - Hàng Chính Hãng,4.632.000₫,https://tiki.vn/dien-thoai-oppo-cph2387-a57-xanh-hang-chinh-hang-p191689878.html?spid=253385448,27,,,26.0
27,Điện Thoại Oppo Reno 8T 5G (8GB/128GB) - Vàng - Hàng Chính Hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno-8t-5g-8gb-128gb-hang-chinh-hang-p216006578.html?spid=253386445,28,,,27.0
28,Điện thoại Oppo Reno8 T (8GB/256GB) - Hàng chính hãng,10.392.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-8gb-256gb-hang-chinh-hang-p230055130.html?spid=253399172,29,,,28.0
29,Điện Thoại Oppo Reno 8T 5G (8GB/256GB) - Hàng Chính Hãng,8.000.000₫,https://tiki.vn/dien-thoai-oppo-reno-8t-5g-8gb-256gb-hang-chinh-hang-p216090646.html?spid=253399265,30,,,29.0
30,Điện Thoại OPPO RENO8 Z 5G (8GB/256GB) - Hàng Chính Hãng,8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-p195333531.html?spid=253386356,31,,Đã bán 1,30.0
31,Điện Thoại Oppo Reno8 Z 5G (8GB/256GB) - Hàng Chính Hãng,8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-vang-p194489407.html?spid=253386398,32,,Đã bán 1,31.0
32,Điện thoại Oppo A18 - Hàng chính hãng,3.499.000₫,https://tiki.vn/dien-thoai-oppo-a18-hang-chinh-hang-p273553649.html?spid=273553653,33,,,32.0
33,Điện thoại OPPO A55- Hàng chính hãng,3.912.000₫,https://tiki.vn/dien-thoai-oppo-a55-chinh-hang-p181699369.html?spid=253399686,34,,,33.0
34,Điện Thoại Oppo A17k 3GB/64GB - Hàng Chính Hãng,2.585.000₫,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p204671569.html?spid=204671571,35,,Đã bán 3,34.0
35,Điện Thoại Oppo Reno 8T 4G (8GB/256GB),8.136.000₫,https://tiki.vn/dien-thoai-oppo-reno-8t-4g-8gb-128gb-hang-chinh-hang-p216092766.html?spid=253386529,36,,,35.0
36,Điện thoại OPPO Reno8 T 5G (8GB/128GB) - Hàng Chính Hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-5g-8gb-128gb-hang-chinh-hang-p220681117.html?spid=253386442,37,,,36.0
37,Điện thoại Oppo Reno8 T 5G (8GB/128GB) - Hàng chính hãng,7.700.000₫,https://tiki.vn/dien-thoai-oppo-reno8-t-5g-8gb-128gb-hang-chinh-hang-p230056086.html?spid=253399688,38,,,37.0
38,Điện Thoại Oppo A54 4GB/128GB - Hàng Chính Hãng,3.912.000₫,https://tiki.vn/dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-p137562237.html?spid=253385109,39,,,38.0
39,Điện Thoại Oppo A76 6GB/128GB - Hàng Chính Hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76-6gb-128gb-hang-chinh-hang-p165700071.html?spid=253399122,40,,,39.0
40,Điện thoại Oppo Reno8 Z 5G (8GB/256GB) - Hàng chính hãng,8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-p196953614.html?spid=253386402,41,,,40.0
41,Điện thoại OPPO Reno10 5G (8GB/256GB) - Hàng Chính Hãng,10.990.000₫,https://tka.tiki.vn/pixel/pixel?data=LoWBoz6HVN3s7_9riVlCwn5LQNg98noolrw4GWw5AHGLjb4xasLQHjjgS21YozDQxCu7GL03jdbViD9q3oOEI3YKiO8RTCEID4-b2GJ-mrYI6xtDrbeh-BMZyoQd83ixWKogkZV5K_5qQ2V5mpTgAu27EdqiYQ1OvyxxnfYZ4DKjVN2tO1GtgXZXtRYxIeb4LmH1R3JLGh6pj8eI7uMpMslEqBvSDmwKD54hGA4HyI1PrVZx_MAHzfkdt7XCmLcDkA9ve06XSzV-Tbk27uxBf2VReMzv9795goq-byCE2tCw_0Jck8gZBtB_GNibAqdPkYE6xA4aDuhGHq4taifL9C9q182w652ZBUUspdW7LDOaQa3wmhsql840wYi4Eav1o7w5ryGgy24yQQu4eFl2t3U_379vzPbWGfq5lXRCJ89jDtsBQN-tZSosy1Trr83bMM9HgUpTQbDtGAKHJSmqE2AhDnGsL5zyzV2iZ-5MXbARuGV2z9W1SuzRPUS6RjIQ-L5_enCDCZ0sEUS00lfUNzdoYqZNr_jrj__X-vHwpnGgzRi3BD2OrZ1jbg1q_wvRQmcT4CVi0oUcMy0aqLVY1kZCfipNIcYl5yh-2NG2CNW_W5KIXP4Q61fsVY1Bl4hNuTPTydcX2-dKm6B8EPlQq-xz3OnKOt_7dR14vU9E8PYSe0vv1oY-SkvqkWuWOLggTBDW35nTjzaaNedNi60Cwt0MXY6N5eh-wuXPzxfH4IQFOVoFgrmQyFs2NOHxPtCQFnFiTnaCi2aQILKXtBCSfycccu3n5bsiG55sPyOGk5_KsJzonkDM2VDYy7HeIThHv7p8HI1aElw3myohd2e_62zIaoS3sfZeJkQ_1UiXUbK-rTi6djQdIEF_fXRSwtRDu3Lg_Cyu9fDd3Tp-8KvHnmd_tqFORJTch9t25L_PcOT03s6Pp4r88btkFP4GaKyuhMMVPQAAU3ZyLBPxesLsYVZ6gyqkZCUcEVDwkN8XLFJK_jofJVExJgHK77oB_xN4Fw&reqid=DjqIpt0samgbKc7U&type=CLICK&pos=41,1,-30%,Đã bán 17,0.0
42,Điện thoại OPPO A77s - Hàng chính hãng,6.216.000₫,https://tiki.vn/dien-thoai-oppo-a77s-hang-chinh-hang-p204810590.html?spid=253386286,2,-11%,Đã bán 1,1.0
43,Điện thoại OPPO A76 (6GB/28GB) - Hàng chính hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76-6gb-28gb-hang-chinh-hang-p193769065.html?spid=253399627,3,-23%,,2.0
44,Điện Thoại Oppo A76 (6GB/128G) - Hàng Chính Hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76k-6gb-128g-hang-chinh-hang-p166034907.html?spid=253399715,4,-25%,,3.0
45,Điện thoại Oppo A57 (4GB/128GB) - Hàng chính hãng,4.632.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p204802771.html?spid=253385480,5,-8%,,4.0
46,Điện thoại OPPO A77 4GB+4GB/128GB - Sạc siêu nhanh 33W - Hàng nhập khẩu nhật - Bản quốc tế,3.499.000₫,https://tiki.vn/dien-thoai-oppo-a77-4gb-4gb-128gb-sac-sieu-nhanh-33w-hang-nhap-khau-nhat-ban-quoc-te-p263675862.html?spid=263675864,6,-8%,Đã bán 5,5.0
47,Điện Thoại OPPO A54 (4GB/128GB) - Hàng Chính Hãng,3.912.000₫,https://tiki.vn/dien-thoai-oppo-a54-4gb-128gb-hang-chinh-hang-p127680701.html?spid=253399572,7,,,6.0
48,Điiện Thoại OPPO Reno8 Z 5G (8GB/256GB) - Hàng Chính Hãng,8.644.000₫,https://tiki.vn/diien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-p196044608.html?spid=253399555,8,,,7.0
49,Điện thoại OPPO A58 6GB/128GB Đen - Hàng chính hãng,4.990.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-den-hang-chinh-hang-p273186911.html?spid=273186912,9,,,8.0
50,Điện Thoại OPPO A57 (4GB/128GB) - Hàng Chính Hãng,4.632.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p192036708.html?spid=253386252,10,,Đã bán 1,9.0
51,Điện Thoại Oppo A57 (4GB/64GB),4.284.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-64gb-hang-chinh-hang-p189658085.html?spid=253312881,11,,,10.0
52,Điện thoại OPPO A78 (8GB/256GB) - Hàng Chính Hãng,6.249.000₫,https://tiki.vn/dien-thoai-oppo-a78-8gb-256gb-p270164674.html?spid=270180316,12,,Đã bán 8,11.0
53,Điện thoại Oppo A17k (3GB/64GB) - Hàng chính hãng,3.276.000₫,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p204872160.html?spid=253384256,13,,,12.0
54,Điện thoại OPPO A57 4GB/128GB Vàng - Hàng chính hãng,4.632.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-vang-hang-chinh-hang-p251275686.html?spid=253385495,14,,,13.0
55,Điện thoại Oppo A58 (6GB/128GB) - Hàng chính hãng,4.990.000₫,https://tiki.vn/dien-thoai-oppo-a58-6gb-128gb-hang-chinh-hang-p271235147.html?spid=271235149,15,,,14.0
56,Điện thoại OPPO A57 4GB/128GB Đen - Hàng chính hãng,3.850.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-den-hang-chinh-hang-p249168300.html?spid=249168301,16,,Đã bán 1,15.0
57,Điện thoại OPPO CPH2375 - A76 Xanh Thời Thượng - Hàng chính hãng (chỉ giao HN và một số khu vực),5.436.000₫,https://tiki.vn/dien-thoai-oppo-cph2375-a76-xanh-thoi-thuong-p176438848.html?spid=253399344,17,,,16.0
58,Điện Thoại OPPO A57 (4GB/128GB) - Hàng chính hãng,3.750.000₫,https://tiki.vn/dien-thoai-oppo-a57-4gb-128gb-hang-chinh-hang-p273273430.html?spid=273273434,18,,,17.0
59,Điện Thoại OPPO A17K (3GB/64GB) - Hàng Chính Hãng,3.276.000₫,https://tiki.vn/dien-thoai-oppo-a17k-3gb-64gb-hang-chinh-hang-p248754839.html?spid=253384269,19,,,18.0
60,Điện Thoại Oppo A76 6GB/128GB - Hàng Chính Hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76-6gb-128gb-hang-chinh-hang-p169464835.html?spid=253399039,20,,,19.0
61,"Điện thoại Oppo Reno8 Z 5G (8GB/256GB) Hàng Chính Hãng, Mới 100%, Nguyên Seal | Bảo hành 12 tháng GZ32 | Điện Thoại Giá Rẻ | Điện Thoại Gaming",8.644.000₫,https://tiki.vn/dien-thoai-oppo-reno8-z-5g-8gb-256gb-hang-chinh-hang-moi-100-nguyen-seal-bao-hanh-12-thang-gz32-p213969615.html?spid=253386364,21,,,20.0
62,Điện thoại OPPO Reno8T 4G - Hàng chính hãng,8.136.000₫,https://tiki.vn/dien-thoai-oppo-reno8t-4g-hang-chinh-hang-p215746882.html?spid=253386515,22,,,21.0
63,Điện thoại OPPO CPH2471 - A17k Vàng - Hàng Chính Hãng (chỉ giao HN và một số khu vực),3.276.000₫,https://tiki.vn/dien-thoai-oppo-cph2471-a17k-vang-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p219392186.html?spid=253384860,23,,,22.0
64,Điện thoại OPPO A57 (4 GB/128 GB) - Hàng chính hãng,4.632.000₫,https://tiki.vn/dien-thoai-oppo-a57-4-gb-128-gb-hang-chinh-hang-p195661031.html?spid=253385452,24,,,23.0
65,Điện thoại OPPO CPH2387 - A57 Đen - Hàng Chính Hãng,4.284.000₫,https://tiki.vn/dien-thoai-oppo-cph2387-a57-den-hang-chinh-hang-p191689727.html?spid=253386196,25,,,24.0
66,Điện thoại OPPO CPH2471 - A17k Xanh - Hàng Chính Hãng (chỉ giao HN và một số khu vực),3.276.000₫,https://tiki.vn/dien-thoai-oppo-cph2471-a17k-xanh-hang-chinh-hang-chi-giao-hn-va-mot-so-khu-vuc-p219400421.html?spid=253384869,26,,,25.0
67,Điện Thoại OPPO A76 (6GB/128GB) - Hàng Chính Hãng,5.436.000₫,https://tiki.vn/dien-thoai-oppo-a76-6gb-128gb-hang-chinh-hang-p174649410.html?spid=253399243,27,,,26.0
