,title,price,link_item,index,discount,sales,Unnamed: 0
0,iPhone 15 Pro Max,31.990.000₫,https://tiki.vn/apple-iphone-15-pro-max-p271973414.html?spid=271973470,1,-4%,Đã bán 691,
1,Apple iPhone 13,15.490.000₫,https://tiki.vn/apple-iphone-13-hang-chinh-hang-p184059211.html?spid=123547399,2,-38%,Đã bán 5k+,
2,iPhone 15 Pro 128GB Titan Tự Nhiên,26.990.000₫,https://tiki.vn/apple-iphone-15-pro-p271972435.html?spid=271972439,3,-4%,Đã bán 242,
3,iPhone 15,20.990.000₫,https://tiki.vn/apple-iphone-15-p271966786.html?spid=271966796,4,-2%,Đã bán 303,
4,iPhone 15 Plus,23.990.000₫,https://tiki.vn/apple-iphone-15-plus-p271967379.html?spid=271967576,5,-8%,Đã bán 133,
5,Apple iPhone 11,11.890.000₫,https://tiki.vn/apple-iphone-11-p184036446.html?spid=32033732,6,-26%,Đã bán 5k+,
6,Apple iPhone 14,18.450.000₫,https://tiki.vn/apple-iphone-14-p197214029.html?spid=197214033,7,-26%,Đã bán 522,
7,Apple iPhone 14 Plus,20.950.000₫,https://tiki.vn/apple-iphone-14-plus-p197214015.html?spid=197214019,8,-25%,Đã bán 366,
8,Apple iPhone 12,12.650.000₫,https://tiki.vn/apple-iphone-12-hang-chinh-hang-p123345348.html?spid=97736366,9,-26%,Đã bán 2.8k,
0,"Điện thoại Bphone A60 (Ram 6Gb,Rom 128 Gb,màn hình đục lổ FHD 6.7inch , pin 5.000mAh ) - Hàng chính hãng",6.490.000₫,https://tiki.vn/dien-thoai-bphone-a60-ram-6gb-rom-128-gb-man-hinh-duc-lo-fhd-6-7inch-pin-5-000mah-p151463645.html?spid=151463646,1,,Đã bán 1,
1,Điện Thoại Bphone 3 (Trắng) - Hàng Chính Hãng,6.990.000₫,https://tiki.vn/dien-thoai-bphone-3-hang-chinh-hang-p5868813.html?spid=28298790,2,,Đã bán 5,
0,Điện Thoại Smartphone KXD EL D68 3GB/32GB - Hàng chính hãng,1.050.000₫,https://tiki.vn/dien-thoai-smartphone-kxd-el-d68-3gb-32gb-hang-chinh-hang-p215902961.html?spid=215902965,1,-38%,Đã bán 75,
