,title,price,link_item,index,discount,sales
0,Bộ lưỡi máy cạo râu thay thế cho dòng máy cạo râu Kemei KM-1102 và KM-1102H dễ tháo lắp sử dụng,79.000₫,https://tiki.vn/bo-luoi-may-cao-rau-thay-the-cho-dong-may-cao-rau-kemei-km-1102-va-km-1102h-de-thao-lap-su-dung-p272429677.html?spid=272429679,1,-6%,Đã bán 1
1,Nước rửa siêu mạnh,8.000₫,https://tiki.vn/nuoc-rua-sieu-manh-p248616060.html?spid=248616062,2,-48%,Đã bán 6
2,10 Que gỗ gạt sáp wax lông size to gấp 2 lần que kem,2.500₫,https://tiki.vn/10-que-go-gat-sap-wax-long-size-to-gap-2-lan-que-kem-p185711074.html?spid=185711084,3,-15%,Đã bán 22
3,"Máy Cạo Lông Vùng Kín KM Giúp Tẩy Lông Hiệu Quả Giúp, Triệt Lông Chân, Triệt Lông Nách",113.000₫,https://tiki.vn/may-cao-long-vung-kin-may-cao-long-nach-km-giup-tay-long-hieu-qua-giup-triet-long-chan-triet-long-nach-p163825308.html?spid=172437011,4,-5%,Đã bán 10
4,,,https://tiki.vn/mieng-dan-mong-tay-ngau-nhien-p25904808.html?spid=38673339,5,,
5,Cold wax an lành - Wax lông - Tẩy lông - Tặng 50 tờ giấy và 2 que wax,109.000₫,https://tiki.vn/cold-wax-an-lanh-wax-long-tay-long-tang-50-to-giay-va-2-que-wax-p141470343.html?spid=141470348,6,-8%,Đã bán 1.1k
6,Sơn móng tay elite cao cấp (gel lạnh không hơ đèn),31.000₫,https://tiki.vn/son-mong-tay-elite-cao-cap-gel-lanh-khong-ho-den-p247789440.html?spid=247789442,7,-10%,Đã bán 10
7,"Máy (Đai) Massage Bụng Nikio NK-168 - Máy Rung Tan Mỡ Bụng Nam Nữ, Làm Săn Chắc Cơ Bụng Nhanh, Kết Hợp Nhiệt Nóng Làm Ấm Bụng, Giảm Đau Bụng Kinh",1.490.000₫,https://tiki.vn/may-dai-massage-bung-nikio-nk-168-may-rung-tan-mo-bung-nam-nu-lam-san-chac-co-bung-nhanh-ket-hop-nhiet-nong-lam-am-bung-giam-dau-bung-kinh-p36557161.html?spid=36557162,8,-10%,Đã bán 244
8,"Sáp Wax Lông Nóng Wax Bean 100gr, Dạng Hạt Đậu(Tặng Kèm Que Phết Wax Stick)",14.000₫,https://tiki.vn/sap-wax-long-nong-wax-bean-100gr-dang-hat-dau-tang-kem-que-phet-wax-stick-p84283337.html?spid=153603451,9,-5%,Đã bán 287
9,,,https://tiki.vn/may-rua-mat-foreo-luna-4-p255760070.html?spid=255760076,10,-20%,
10,Hộp bấm móng tay Đức có giũa - rất tiện lợi - chất lượng,199.000₫,https://tiki.vn/hop-bam-mong-tay-duc-hieu-zwilling-co-giua-rat-tien-loi-chat-luong-p137829896.html?spid=137829898,11,,Đã bán 65
11,"Máy hơ gel mini , hơ móng tay mini",28.000₫,https://tiki.vn/may-ho-gel-mini-ho-mong-tay-mini-p96184396.html?spid=135754517,12,-8%,Đã bán 67
12,,,https://tiki.vn/combo-triet-long-vinh-vien-an-lanh-p144191636.html?spid=174610286,13,-10%,
13,( Hàng mới về) Sơn Gel VENDEENI Sơn Móng 15ml Siêu Đẹp (lẻ chai ),38.000₫,https://tiki.vn/hang-moi-ve-son-gel-vendeeni-son-mong-15ml-sieu-dep-le-chai-hang-chinh-hang-p241789676.html?spid=241789707,14,,Đã bán 11
14,Dao Cạo Râu Gillette Fusion5 Proglide Flexball,320.000₫,https://tiki.vn/dao-cao-rau-gillette-fusion5-proglide-flexball-p146361737.html?spid=146361738,15,,Đã bán 15
15,"Đai hỗ trợ giảm béo, Giảm Đau Lưng Nam, Giảm Đau Kinh Nguyệt, Sưởi Ấm Bụng, Massage, SUPER BELT 3D[30 NGÀY 1 ĐỔI 1] Công Nghệ Rung, Nóng Và Xung Điện EMS",1.562.000₫,https://tiki.vn/dai-ho-tro-giam-beo-giam-dau-lung-nam-giam-dau-kinh-nguyet-suoi-am-bung-massage-super-belt-3d-30-ngay-1-doi-1-cong-nghe-rung-nong-va-xung-dien-ems-p114458752.html?spid=114458756,16,,Đã bán 35
16,Lược chải tóc tre tự nhiên chống tích điện và massage da đầu XM27,85.000₫,https://tiki.vn/luoc-chai-toc-tre-tu-nhien-chong-tich-dien-va-massage-da-dau-xm27-p56742808.html?spid=56742809,17,,Đã bán 91
17,,,https://tiki.vn/may-mat-xa-xong-hoi-cho-mat-eye-massage-tich-hop-bluetooth-nghe-nhac-thu-gian-p46598259.html?spid=204267083,18,,
18,Máy Triệt Lông Vĩnh Viễn Qmele V301-G có màn hình LCD 500.000 Xung,1.549.000₫,https://tiki.vn/may-triet-long-vinh-vien-qmele-co-man-hinh-lcd-500-000-xung-p55840696.html?spid=56960202,19,,Đã bán 161
19,"Cây Lăn Mặt - Cây Massage Mặt, Dụng Cụ Mát Xa Mặt 3D Nâng Cơ, Xóa Nhăn Làm thon gọn Mặt Thông minh",38.000₫,https://tiki.vn/dung-cu-massage-lam-san-chac-khuon-mat-p48623355.html?spid=72958985,20,,Đã bán 141
20,Bộ 24 móng tay giả trang trí nghệ thuật cho nữ [Tặng kèm phụ kiện 24 miếng keo dán sillicon 2 mặt + dũa móng]- Được chọn mẫu,20.000₫,https://tiki.vn/bo-24-mong-tay-gia-trang-tri-nghe-thuat-cho-nu-ta-ng-ke-m-phu-kie-n-24-mie-ng-keo-da-n-sillicon-2-ma-t-du-a-mo-ng-keo-da-n-p94998520.html?spid=206677040,21,,Đã bán 132
21,Máy triệt lông cá nhân Halio IPL Cooling Hair Removal Device - Tặng quà ngẫu nhiên - Hàng chính hãng,3.390.000₫,https://tiki.vn/may-triet-long-ca-nhan-halio-ipl-cooling-hair-removal-device-tang-qua-ngau-nhien-hang-chinh-hang-p270835257.html?spid=270835258,22,,Đã bán 1
22,"Bộ Ủ Nóng Tan Mỡ SLIMMING BODY 2 hỗ trợ giảm mỡ Bụng , Đùi Hiệu Quả - Bản cải tiến 2021",749.000₫,https://tiki.vn/bo-u-nong-tan-mo-slimming-body-2-ho-tro-giam-mo-bung-dui-hieu-qua-ban-cai-tien-2021-p97094057.html?spid=108695156,23,,Đã bán 27
23,Máy chà gót chân,264.000₫,https://tiki.vn/may-cha-got-chan-p99502388.html?spid=171544304,24,,Đã bán 41
24,"Máy rửa mặt làm sạch bụi bẩn, bã nhờn và lớp trang điểm thừa có khả năng massage kích thích tuần hoàn máu - Giao màu ngẫu nhiên",48.000₫,https://tiki.vn/may-rua-mat-lam-sach-bui-ban-ba-nhon-va-lop-trang-diem-thua-co-kha-nang-massage-kich-thich-tuan-hoan-mau-giao-mau-ngau-nhien-p52629204.html?spid=67036638,25,,Đã bán 16
25,,,https://tiki.vn/lo-chiec-nuoc-hoa-tinh-dau-mini-5ml-dang-xit-henrysa-p213860182.html?spid=213860188,26,,
26,Sủi Da S-506 - Kềm Nghĩa,59.800₫,https://tiki.vn/sui-da-s-506-kem-nghia-p8211858.html?spid=8211859,27,,Đã bán 458
27,Máy Hút Mụn Đầu Đen - Dầu Nhờn Cầm Tay Mini - Nâng Cơ Làm Mờ Nếp Nhăn - Kèm 5 Đâu Hút Mụn Và 3 Chế Độ Có Dây Cáp Sạc - Remover,215.600₫,https://tiki.vn/may-hut-mun-dau-den-dau-nhon-cam-tay-mini-nang-co-lam-mo-nep-nhan-kem-5-dau-hut-mun-va-3-che-do-co-day-cap-sac-remover-p72454657.html?spid=149848700,28,,Đã bán 25
28,"Bộ dụng cụ chăm sóc móng tay Xiaomi Mijia 5 món, thép không gỉ - Hàng Nhập Khẩu",179.000₫,https://tiki.vn/bo-dung-cu-cham-soc-mong-tay-xiaomi-mijia-5-mon-thep-khong-gi-hang-nhap-khau-p74689272.html?spid=74689273,29,,Đã bán 123
29,Đai Quấn Nóng Giảm Mỡ Bụng Sweat Belt Cao Cấp,33.250₫,https://tiki.vn/dai-quan-nong-giam-mo-bung-sweat-belt-cao-cap-p124273948.html?spid=124273953,30,,Đã bán 25
30,,,https://tiki.vn/bam-mong-tay-mong-chan-z-905-hang-chat-luong-cao-tu-inox-304-p178937777.html?spid=178937779,31,,
31,"Máy Chà Gót Chân, Mài Gót Chân, Tẩy Da Chết MKS Cao Cấp -Có Tích Điện, Tặng Kèm 3 Đầu Mài Thạch Anh",648.000₫,https://tiki.vn/may-cha-got-chan-mai-got-chan-tay-da-chet-mks-cao-cap-co-tich-dien-tang-kem-3-dau-mai-thach-anh-p122489728.html?spid=215257959,32,,Đã bán 3
32,Miếng dán máy chà gót chân,58.000₫,https://tiki.vn/mieng-dan-may-cha-got-chan-p147947771.html?spid=147947785,33,,Đã bán 8
33,"Chai chiết, lọ chiết nước hoa mini, ống chiết tự động dạng xịt 5ml nhỏ gọn tiện dụng GD722-ChietNH",15.000₫,https://tiki.vn/chai-chiet-lo-chiet-nuoc-hoa-mini-ong-chiet-tu-dong-dang-xit-5ml-nho-gon-tien-dung-gd722-chietnh-p252402786.html?spid=252402788,34,,Đã bán 28
