,title,price,link_item,index,discount,sales
6,"Kem tắm trắng toàn thân Acosmetics, ủ trắng body, hương nước hoa 100ml",200.000₫,https://tiki.vn/kem-tam-trang-toan-than-acosmetics-u-trang-body-huong-nuoc-hoa-100ml-p262755669.html?spid=262755670,7,-18%,
7,Hanayuki Kem Dưỡng Hồng Pink Bikini + Pink Nipple + Pinkish Nipple Hanayuki Chính Hãng,235.000₫,https://tiki.vn/hanayuki-kem-duong-hong-pink-bikini-pink-nipple-pinkish-nipple-hanayuki-chinh-hang-p205905494.html?spid=205905508,8,-20%,Đã bán 5
8,"Kem massage săn chắc da vùng bụng tinh chất gừng New Sky Belly Fat Ginger Essence Massage Gel 250gr (hỗ trợ giảm béo, tan mỡ đùi, bắp tay, hông) Hani Peni",349.000₫,https://tiki.vn/gel-massage-san-chac-da-vung-bung-tinh-chat-gung-new-sky-250gr-belly-fat-ginger-essence-massage-gel-p85881227.html?spid=85881289,9,-50%,Đã bán 9
9,,,https://tiki.vn/gel-ky-tay-te-bao-chet-face-scrub-huong-thi-platinum-120ml-p61298041.html?spid=61298042,10,,
10,Sữa dưỡng thể hương đào Aroma Resort Kracie body milk 200g,208.050₫,https://tiki.vn/sua-duong-the-huong-dao-aroma-resort-kracie-body-milk-200g-p74864689.html?spid=74864691,11,-39%,Đã bán 19
11,Sữa Dưỡng Thể Thảo Dược Argan Body Lotion Gold Hàn Quốc 500ml + Móc Khóa,199.000₫,https://tiki.vn/sua-duong-the-thao-duoc-argan-body-lotion-gold-han-quoc-500ml-moc-khoa-p16861414.html?spid=16861416,12,-26%,Đã bán 6
12,,,https://tiki.vn/xa-bong-sinh-duoc-chum-ngay-muop-dang-xa-bong-thao-moc-chiet-xuat-thien-nhien-lanh-tinh-ecobuff-p252875983.html?spid=252875984,13,-43%,
13,Sữa Dưỡng Thể Nâng Tone Da Reihaku Hatomugi UV Care & Tone Up Milky SPF31 PA++++ (250mL),129.000₫,https://tiki.vn/gel-duong-the-chong-nang-hatomugi-uv-care-tone-up-uv-milky-gel-spf31-pa-danh-cho-moi-loai-da-chai-250ml-p172975143.html?spid=270881642,14,,
14,Sữa tắm cao cấp Romano Classic cổ điển lịch lãm phiên bản Deluxe sạch sáng khoái 180gr,52.000₫,https://tiki.vn/sua-tam-cao-cap-romano-classic-co-dien-lich-lam-phien-ban-deluxe-sach-sang-khoai-180gr-p19561157.html?spid=19561158,15,,Đã bán 50
15,Sữa Tắm Tạo Bọt Dịu Nhẹ Cho Bé Sebamed Baby Bubble Bath pH 5.5 SBB01B (200ml),185.000₫,https://tiki.vn/sua-tam-tao-bot-diu-nhe-cho-be-sebamed-baby-bubble-bath-ph-5-5-sbb01b-200ml-p551948.html?spid=56092345,16,,Đã bán 29
16,Tẩy da chết body Organic shop chiết xuất cà phê,95.000₫,https://tiki.vn/tay-da-chet-body-organic-shop-chiet-xuat-ca-phe-p176451420.html?spid=176451495,17,,
17,,,https://tiki.vn/kem-chong-nang-noc-ong-collagen-x3-p216335497.html?spid=216335498,18,,
18,Sữa Dưỡng Thể Hoa Bưởi Sáng Da Dưỡng Ẩm Ngăn Ngừa Lão Hoá Cỏ Mềm 150ml,165.000₫,https://tiki.vn/sua-duong-the-hoa-buoi-sang-da-duong-am-ngan-ngua-lao-hoa-co-mem-150ml-p166209911.html?spid=166209912,19,,Đã bán 24
19,Găng tay tắm - combo 2 đôi,26.000₫,https://tiki.vn/gang-tay-tam-combo-2-doi-p22296592.html?spid=85027305,20,,Đã bán 57
20,Gel tan mỡ giúp săn chắc da TaBaHa 250g chiết xuất từ thiên nhiên tặng thước dây,140.000₫,https://tiki.vn/gel-tan-mo-giup-san-chac-da-tabaha-250g-chiet-xuat-tu-thien-nhien-tang-thuoc-day-p68507661.html?spid=68507662,21,,Đã bán 99
21,Sữa dưỡng da tay và dưỡng da toàn thân White Rain Aloe Vera Lotion 499ml - USA,87.000₫,https://tiki.vn/sua-duong-da-tay-va-duong-da-toan-than-white-rain-aloe-vera-lotion-499ml-usa-p264031154.html?spid=264031159,22,,
22,"Scrub Tẩy Da Chết Body & Mặt Từ Cà Phê Robusta Trắng Da, Giảm Thâm Nám MILAGANICS ( 280gr/ Hũ )",204.000₫,https://tiki.vn/scrub-tay-da-chet-body-mat-tu-ca-phe-robusta-trang-da-giam-tham-nam-milaganics-280gr-hu-p121091028.html?spid=121091030,23,,Đã bán 231
23,Tẩy da chết môi cà phê Đắk Lắk COCOON mềm môi hồng môi Dak Lak Coffee Lip Scrub COCN10 5g,69.000₫,https://tiki.vn/tay-da-chet-moi-ca-phe-dak-lak-cocoon-mem-moi-hong-moi-dak-lak-coffee-lip-scrub-cocn10-5g-p110757546.html?spid=176186640,24,,Đã bán 5
24,Gel Hỗ trợ giảm mỡ Eveline Slim Extreme 4D - Tuýp 250ml,340.000₫,https://tiki.vn/gel-ho-tro-giam-mo-eveline-slim-extreme-4d-tuyp-250ml-p126735008.html?spid=126735009,25,,Đã bán 8
25,,,https://tiki.vn/hang-moi-chinh-hang-kem-duong-trang-body-nang-co-benew-collagen-whitening-200ml-p127643141.html?spid=170180932,26,,
26,Sữa tắm Soap and Glory Clean On Me Shower Gel 500ml (Bill Anh),399.000₫,https://tiki.vn/sua-tam-soap-and-glory-clean-on-me-shower-gel-500ml-p37486716.html?spid=37486717,27,,Đã bán 27
27,Kem dưỡng Sáng da Vùng da dưới cánh tay VACOSI WHITENING ARMPIT CREAM 30mL,136.000₫,https://tiki.vn/kem-duong-sang-da-vung-da-duoi-canh-tay-vacosi-whitening-armpit-cream-30ml-p173076434.html?spid=173076435,28,,Đã bán 6
28,Kem Tẩy Lông Dành Cho Da Thường VEET Silk & Fresh Normal Tuýp 50g - Giao Ngẫu Nhiên,75.000₫,https://tiki.vn/kem-tay-long-danh-cho-da-thuong-veet-silk-fresh-normal-tuyp-50g-giao-ngau-nhien-p511229.html?spid=51442727,29,,Đã bán 10
29,Dầu gội X-Men for Boss hương gió biển thanh mát Legend với Ultra Keratin 650g,218.000₫,https://tiki.vn/dau-goi-x-men-for-boss-huong-gio-bien-thanh-mat-legend-voi-ultra-keratin-650g-p257865447.html?spid=257865448,30,,
30,,,https://tiki.vn/lan-khu-mui-babaria-p235884884.html?spid=235884892,31,,
31,Sữa Tắm Hữu Cơ Làm Sạch Trẻ Hóa Làn Da Mukti Botanique Wash,1.298.000₫,https://tiki.vn/sua-tam-huu-co-lam-sach-tre-hoa-lan-da-mukti-botanique-wash-500ml-p103500995.html?spid=103500997,32,,Đã bán 1
