,title,price,link_item,index,discount,sales
0,Nước Hoa Nam Carolina Herrera 212 Vip Men Edt 100Ml,2.310.000₫,https://tiki.vn/nuoc-hoa-nam-carolina-herrera-212-vip-men-edt-100ml-p23086798.html?spid=23086799,1,,Đã bán 12
1,Nước hoa vùng kín nữ - Midnight Forest Eau De Parfum - chai chấm 10ml - LOLI & THE WOLF,259.000₫,https://tiki.vn/nuoc-hoa-vung-kin-nu-midnight-forest-eau-de-parfum-chai-cham-10ml-loli-the-wolf-p73863599.html?spid=74754518,2,-25%,Đã bán 9
2,Body Mist Japanese Cherry Blossom 236ml - Bath and Body Work Japanese Cherry Blossom Chính Hãng,249.000₫,https://tiki.vn/body-mist-japanese-cherry-blossom-236ml-bath-and-body-work-japanese-cherry-blossom-chinh-hang-p273197615.html?spid=273197616,3,-30%,
3,"Nước hoa vùng kín nữ - Honey Valley Eau De Parfum - chai lăn 2ml- LOLI & THE WOLF, Tặng Kèm Mút Rửa Mặt",85.000₫,https://tiki.vn/nuoc-hoa-vung-kin-nu-honey-valley-eau-de-parfum-chai-lan-2ml-loli-the-wolf-tang-kem-mut-rua-mat-p78509510.html?spid=78509511,4,,Đã bán 24
4,,,https://tiki.vn/tinh-dau-nuoc-hoa-dubai_-sultan-al-rehab-unisex-hang-chinh-hang-p70508363.html?spid=70508364,5,-8%,
5,Nước Hoa Nam Gucci Guilty Parfum Pour Homme,2.080.000₫,https://tiki.vn/nuoc-hoa-nam-gucci-guilty-parfum-pour-homme-p208264414.html?spid=208264418,6,-14%,Đã bán 1
6,Nước hoa Revolution Revolutionary Love Eau De Toilette 100ml,449.000₫,https://tiki.vn/nuoc-hoa-revolution-revolutionary-froral-seduction-eau-de-toilette-100ml-p260113514.html?spid=260113515,7,-29%,
7,Nước Hoa Nam Charme Giò 80ml,389.000₫,https://tiki.vn/nuoc-hoa-nam-charme-gio-80ml-p13917690.html?spid=42628304,8,-25%,Đã bán 14
8,Nước Hoa Bím Foellie Eau De Inner Beauty Perfume 5ml (Lựa Chọn Mùi),175.000₫,https://tiki.vn/nuoc-hoa-vung-kin-foellie-eau-de-inner-beauty-perfume-5ml-lua-chon-mui-p243085021.html?spid=248501815,9,-47%,Đã bán 7
9,,,https://tiki.vn/nuoc-hoa-nam-carolina-herrera-212-vip-men-black-edp-100ml-p23213479.html?spid=23213480,10,-8%,
10,Nước Hoa Nam Cao Cấp AQUA DI 5ml & 50mL LPK Eau De Parfum Chính Hãng,38.000₫,https://tiki.vn/nuoc-hoa-nam-cao-cap-aqua-di-5ml-50ml-lpk-eau-de-parfum-chinh-hang-p273170729.html?spid=273170731,11,-13%,
11,Tinh dầu nước hoa Dubai_ Soft Al-Rehab_ NỮ (Hàng chính hãng ),184.000₫,https://tiki.vn/tinh-dau-nuoc-hoa-dubai_-soft-al-rehab_-nu-hang-chinh-hang-p54033714.html?spid=54033715,12,-43%,Đã bán 3
12,,,https://tiki.vn/nuoc-hoa-nam-cao-cap-versace-pour-homme-edt-30ml-50ml-100ml-huong-duong-xi-tuoi-mat-sang-trong-p208450319.html?spid=208450323,13,-8%,
