title,price,link_item,index,discount,sales
Nước Hoa Nữ LATINO N49 Hồng (100ml),109.000₫,https://tiki.vn/nuoc-hoa-nu-latino-n49-hong-100ml-p16164382.html?spid=16164383,30,,Đã bán 109
,,https://tiki.vn/nuoc-hoa-charme-gio-p19403171.html?spid=168918302,31,,
Nước Hoa Unisex Maison Francis Kurkdjian Aqua Universalis EDT Mini 5ml,399.000₫,https://tiki.vn/nuoc-hoa-unisex-maison-francis-kurkdjian-aqua-universalis-edt-mini-5ml-p273039942.html?spid=273039943,32,,
Nước hoa nữ Calvin Klein Euphoria Eau De Parfum,499.000₫,https://tiki.vn/nuoc-hoa-nu-calvin-klein-euphoria-eau-de-parfum-15ml-p91976083.html?spid=91976084,33,,Đã bán 43
"Nước hoa nữ sang trọng, Charme Adore, lưu hương lâu, hương hoa cỏ, tôn vinh nét đẹp phụ nữ hiện đại, 100ml",133.000₫,https://tiki.vn/nuoc-hoa-nu-charme-adore-50ml-p193246432.html?spid=262460460,34,,Đã bán 17
Nước Hoa De Memoria 06 Grasse 30ml,390.000₫,https://tiki.vn/nuoc-hoa-de-memoria-06-grasse-30ml-p134584033.html?spid=134584034,35,,Đã bán 25
,,https://tiki.vn/nuoc-hoa-nu-burberry-london-for-women-30ml-p208399495.html?spid=190482272,36,,
Nước Hoa Nữ Jeanne Arthes Guipure & Silk Ylang Vanille Eau De Parfum 100ml - PFA01969,649.000₫,https://tiki.vn/nuoc-hoa-nu-jeanne-arthes-guipure-silk-ylang-vanille-eau-de-parfum-100ml-pfa01969-p567831.html?spid=5948167,37,,Đã bán 87
Nước Hoa Nam Jean Paul Gaultier Le Male Edt 125Ml,2.350.000₫,https://tiki.vn/nuoc-hoa-nam-jean-paul-gaultier-le-male-edt-125ml-p23224179.html?spid=23224180,38,,Đã bán 12
( Mẫu chiết ) Nước Hoa Unisex Maison Francis Kurkdjian MFK 724,750.000₫,https://tiki.vn/mau-chiet-nuoc-hoa-unisex-maison-francis-kurkdjian-mfk-724-p247370358.html?spid=247370360,39,,
Nước Hoa Nữ Burberry Her EDP,2.180.000₫,https://tiki.vn/nuoc-hoa-nu-burberry-her-edp-p242659248.html?spid=242659251,40,,Đã bán 3
